Study Id,Subject Id,Organ,Compartment,Species,Gender,Dose,Molecule,Molecular Weight,Time,Time unit,Measurement,Measurement unit,Error,LLOQ,Route,Group Id,Population,Weight [kg],Height [cm],Age [year(s)],subject Id2
Tajiri 2024 Fig 1,.,Venous Blood,Plasma,NHP,.,3,Adalimumab,148000,1.92,hr,52.98,ug/mL,.,.,IV,.,.,0.35,.,.,67
Tajiri 2024 Fig 1,.,Venous Blood,Plasma,NHP,.,3,Adalimumab,148000,3.12,hr,44.49,ug/mL,.,.,IV,.,.,0.35,.,.,67
Tajiri 2024 Fig 1,.,Venous Blood,Plasma,NHP,.,3,Adalimumab,148000,8.64,hr,38.57,ug/mL,.,.,IV,.,.,0.35,.,.,67
Tajiri 2024 Fig 1,.,Venous Blood,Plasma,NHP,.,3,Adalimumab,148000,25.44,hr,25.94,ug/mL,.,.,IV,.,.,0.35,.,.,67
Tajiri 2024 Fig 1,.,Venous Blood,Plasma,NHP,.,3,Adalimumab,148000,48.96,hr,20.78,ug/mL,.,.,IV,.,.,0.35,.,.,67
Tajiri 2024 Fig 1,.,Venous Blood,Plasma,NHP,.,3,Adalimumab,148000,97.44,hr,15.14,ug/mL,.,.,IV,.,.,0.35,.,.,67
Tajiri 2024 Fig 1,.,Venous Blood,Plasma,NHP,.,3,Adalimumab,148000,169.68,hr,10.69,ug/mL,.,.,IV,.,.,0.35,.,.,67
Tajiri 2024 Fig 1,.,Venous Blood,Plasma,NHP,.,3,Adalimumab,148000,264.24,hr,6.97,ug/mL,.,.,IV,.,.,0.35,.,.,67
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,1,Atezolizumab,144000,4.93,hr,21.81,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,9
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,1,Atezolizumab,144000,28.57,hr,18.52,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,9
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,1,Atezolizumab,144000,73.89,hr,13.61,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,9
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,1,Atezolizumab,144000,170.44,hr,8.49,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,9
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,1,Atezolizumab,144000,340.89,hr,5.8,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,9
Chen 2024 Fig 1,.,Venous Blood,Plasma,human,.,1,Atezolizumab,144000,508.37,hr,5.11,ug/mL,.,.,IV 1hr Infusion,.,.,70,170,.,9
