#Project: Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PK-Sim version: 12.2.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IndividualId,Gender,Population,Population Name,Organism|Weight [kg],Organism|Ontogeny factor (alpha1-acid glycoprotein) table,Organism|Ontogeny factor (albumin) table,Organism|Hematocrit,Organism|Ontogeny factor (albumin),Organism|Ontogeny factor (alpha1-acid glycoprotein),Organism|VenousBlood|Volume [l],Organism|ArterialBlood|Volume [l],Organism|Bone|Specific blood flow rate [l/min/kg organ],Organism|Bone|Volume [l],Organism|Brain|Volume [l],Organism|Brain|Specific blood flow rate [l/min/kg organ],Organism|Fat|Volume [l],Organism|Fat|Vf (lipid),Organism|Fat|Vf (neutral lipid)-PT,Organism|Fat|Vf (phospholipid)-PT,Organism|Fat|Fraction interstitial,Organism|Fat|Vf (water),Organism|Fat|Vf (water)-PT,Organism|Fat|Vf (neutral lipid)-RR,Organism|Fat|Vf (neutral lipid)-WS,Organism|Fat|Vf (neutral phospholipid)-RR,"Organism|Fat|Vf (neutral phospholipid, plasma)-WS",Organism|Fat|Vf (extracellular water)-RR,Organism|Fat|Vf (intracellular water)-RR,Organism|Fat|Vf (water)-WS,Organism|Fat|Specific blood flow rate [l/min/kg organ],Organism|Gonads|Volume [l],Organism|Gonads|Specific blood flow rate [l/min/kg organ],Organism|Heart|Volume [l],Organism|Heart|Specific blood flow rate [l/min/kg organ],Organism|Kidney|Volume [l],Organism|Kidney|GFR (specific) [l/min/kg organ],Organism|Kidney|Specific blood flow rate [l/min/kg organ],Organism|Lumen|Effective surface area variability factor,Organism|Lumen|Stomach|Distal radius [dm],Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor,Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor,Organism|Lumen|Stomach|Length [dm],Organism|Lumen|Stomach|Proximal radius [dm],Organism|Lumen|Stomach|Gastric emptying time [min],Organism|Lumen|Duodenum|Effective surface area enhancement factor,Organism|Lumen|UpperJejunum|Effective surface area enhancement factor,Organism|Lumen|LowerJejunum|Effective surface area enhancement factor,Organism|Lumen|UpperIleum|Effective surface area enhancement factor,Organism|Lumen|LowerIleum|Effective surface area enhancement factor,Organism|Lumen|Caecum|Effective surface area enhancement factor,Organism|Lumen|ColonAscendens|Effective surface area enhancement factor,Organism|Lumen|ColonTransversum|Effective surface area enhancement factor,Organism|Lumen|ColonDescendens|Effective surface area enhancement factor,Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor,Organism|Lumen|Rectum|Effective surface area enhancement factor,Organism|Stomach|Volume [l],Organism|Stomach|Specific blood flow rate [l/min/kg organ],Organism|SmallIntestine|Small intestinal transit time [min],Organism|SmallIntestine|Volume [l],Organism|SmallIntestine|Specific blood flow rate [l/min/kg organ],Organism|LargeIntestine|Large intestinal transit time [min],Organism|LargeIntestine|Volume [l],Organism|LargeIntestine|Specific blood flow rate [l/min/kg organ],Organism|Liver|Volume [l],Organism|Liver|Specific blood flow rate [l/min/kg organ],Organism|Lung|Volume [l],Organism|Lung|Fraction vascular,Organism|Muscle|Volume [l],Organism|Muscle|Vf (lipid),Organism|Muscle|Vf (neutral lipid)-PT,Organism|Muscle|Vf (phospholipid)-PT,Organism|Muscle|Vf (protein),Organism|Muscle|Vf (water),Organism|Muscle|Vf (water)-PT,Organism|Muscle|Fraction interstitial,Organism|Muscle|Vf (neutral lipid)-RR,Organism|Muscle|Vf (neutral lipid)-WS,Organism|Muscle|Vf (neutral phospholipid)-RR,"Organism|Muscle|Vf (neutral phospholipid, plasma)-WS",Organism|Muscle|Vf (extracellular water)-RR,Organism|Muscle|Vf (protein)-WS,Organism|Muscle|Vf (intracellular water)-RR,Organism|Muscle|Vf (water)-WS,Organism|Muscle|Specific blood flow rate [l/min/kg organ],Organism|Pancreas|Volume [l],Organism|Pancreas|Specific blood flow rate [l/min/kg organ],Organism|PortalVein|Volume [l],Organism|Skin|Volume [l],Organism|Skin|Specific blood flow rate [l/min/kg organ],Organism|Spleen|Volume [l],Organism|Spleen|Specific blood flow rate [l/min/kg organ]
0,UNKNOWN,Dog,Dog,11.82136747,1,1,0.43,1,1,0.353351444,0.153631062,0.01113499,1.691803891,0.069909252,1.800584363,2.097277551,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.004340604,0.14,0.060121956,0.625222961,0.135623948,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.033556441,0.258704648,151,0.1423718,1.042073171,2898,0.068755162,1.0625,0.297813412,0.131174189,0.118845728,0.626,5.942286395,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.02516733,0.57489924,0.086812073,0.508939353,0.031215133,0.030760071,0.376297666
1,UNKNOWN,Dog,Dog,13.19812471,1,1,0.43,1,1,0.394503972,0.171523466,0.01113499,1.888837209,0.078051125,1.800584363,2.34153373,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.004846125,0.14,0.067123967,0.625222961,0.151419181,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.03746454,0.258704648,151,0.158952911,1.042073171,2898,0.076762625,1.0625,0.33249779,0.131174189,0.132686911,0.626,6.634345569,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.028098405,0.57489924,0.096922506,0.568212186,0.031215133,0.034342495,0.376297666
2,UNKNOWN,Dog,Dog,9.943910457,1,1,0.43,1,1,0.297232543,0.12923154,0.01113499,1.423113396,0.058806339,1.800584363,1.76419016,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.003651234,0.14,0.050573451,0.625222961,0.114084297,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.028227043,0.258704648,151,0.119760462,1.042073171,2898,0.05783554,1.0625,0.250515003,0.131174189,0.099970776,0.626,4.998538786,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.021170282,0.57489924,0.073024672,0.428110146,0.031215133,0.025874789,0.376297666
3,UNKNOWN,Dog,Dog,13.26087587,1,1,0.43,1,1,0.396379661,0.172338983,0.01113499,1.897817782,0.078422223,1.800584363,2.352666671,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.004869166,0.14,0.067443111,0.625222961,0.152139112,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.037642667,0.258704648,151,0.15970866,1.042073171,2898,0.077127597,1.0625,0.334078667,0.131174189,0.133317778,0.626,6.665888902,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.028232,0.57489924,0.097383329,0.570913779,0.031215133,0.034505778,0.376297666
4,UNKNOWN,Dog,Dog,11.05933845,1,1,0.43,1,1,0.330573702,0.143727696,0.01113499,1.582746824,0.065402762,1.800584363,1.962082839,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.0040608,0.14,0.056246375,0.625222961,0.126881357,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.031393326,0.258704648,151,0.133194228,1.042073171,2898,0.064323066,1.0625,0.278615763,0.131174189,0.111184694,0.626,5.559234711,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.023544994,0.57489924,0.081215993,0.476132103,0.031215133,0.028777215,0.376297666
5,UNKNOWN,Dog,Dog,11.3692519,1,1,0.43,1,1,0.339837297,0.147755347,0.01113499,1.627099797,0.067235529,1.800584363,2.017065864,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.004174595,0.14,0.057822555,0.625222961,0.130436926,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.032273054,0.258704648,151,0.136926701,1.042073171,2898,0.066125578,1.0625,0.286423353,0.131174189,0.114300399,0.626,5.715019947,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.02420479,0.57489924,0.083491891,0.48947465,0.031215133,0.029583633,0.376297666
6,UNKNOWN,Dog,Dog,9.021897452,1,1,0.43,1,1,0.269672734,0.117249015,0.01113499,1.291160371,0.053353735,1.800584363,1.600612031,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.003312686,0.14,0.045884211,0.625222961,0.103506245,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.025609793,0.258704648,151,0.108656108,1.042073171,2898,0.05247295,1.0625,0.227286908,0.131174189,0.090701348,0.626,4.53506742,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.019207344,0.57489924,0.066253724,0.388415186,0.031215133,0.023475643,0.376297666
7,UNKNOWN,Dog,Dog,9.723109157,1,1,0.43,1,1,0.290632591,0.126361996,0.01113499,1.391513625,0.057500563,1.800584363,1.725016891,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.003570159,0.14,0.049450484,0.625222961,0.111551092,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.027600271,0.258704648,151,0.11710122,1.042073171,2898,0.056551321,1.0625,0.244952398,0.131174189,0.097750957,0.626,4.887547857,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.020700203,0.57489924,0.071403183,0.418604099,0.031215133,0.025300248,0.376297666
8,UNKNOWN,Dog,Dog,11.6610945,1,1,0.43,1,1,0.348560739,0.151548147,0.01113499,1.668866576,0.068961429,1.800584363,2.068842863,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.004281754,0.14,0.059306829,0.625222961,0.133785172,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.033101486,0.258704648,151,0.140441536,1.042073171,2898,0.067822986,1.0625,0.293775686,0.131174189,0.117234429,0.626,5.861721444,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.024826114,0.57489924,0.085635083,0.502039202,0.031215133,0.030343029,0.376297666
9,UNKNOWN,Dog,Dog,13.91059899,1,1,0.43,1,1,0.415800477,0.180782816,0.01113499,1.990802295,0.082264558,1.800584363,2.467936729,0.8,0.853,0.002,0.135,0.15,0.15,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020696372,0.005107734,0.14,0.070747519,0.625222961,0.159593242,0.254,1.088159766,1,0.4,1,1,2,0.4,50,312.5217,423.3512,361.7149,254.6473,215.9858,1.6301,1.7001,1.7,1.7,1.7,1.7,0.039486988,0.258704648,151,0.167533664,1.042073171,2898,0.080906501,1.0625,0.350447015,0.131174189,0.139849748,0.626,6.992487399,0.013,0.01,0.0087,0.177,0.811,0.811,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.024835646,0.029615241,0.57489924,0.102154673,0.59888598,0.031215133,0.036196405,0.376297666
