IndividualId,Gender,Population,Population Name,Organism|Weight [kg],Organism|Ontogeny factor (albumin),Organism|Ontogeny factor (alpha1-acid glycoprotein),Organism|Ontogeny factor (alpha1-acid glycoprotein) table,Organism|Ontogeny factor (albumin) table,Organism|BMI [kg/dm²],Organism|BSA [dm²],Organism|Age [year(s)],Organism|Gestational age [week(s)],Organism|Height [dm],Organism|Hematocrit,Organism|VenousBlood|Volume [l],Organism|ArterialBlood|Volume [l],Organism|Bone|Specific blood flow rate [l/min/kg organ],Organism|Bone|Volume [l],Organism|Brain|Volume [l],Organism|Brain|Specific blood flow rate [l/min/kg organ],Organism|Fat|Volume [l],Organism|Fat|Vf (lipid),Organism|Fat|Vf (neutral lipid)-PT,Organism|Fat|Vf (phospholipid)-PT,Organism|Fat|Fraction interstitial,Organism|Fat|Vf (water),Organism|Fat|Vf (water)-PT,Organism|Fat|Vf (neutral lipid)-RR,Organism|Fat|Vf (neutral lipid)-WS,Organism|Fat|Vf (neutral phospholipid)-RR,"Organism|Fat|Vf (neutral phospholipid, plasma)-WS",Organism|Fat|Vf (extracellular water)-RR,Organism|Fat|Vf (intracellular water)-RR,Organism|Fat|Vf (water)-WS,Organism|Fat|Specific blood flow rate [l/min/kg organ],Organism|Gonads|Volume [l],Organism|Gonads|Specific blood flow rate [l/min/kg organ],Organism|Heart|Volume [l],Organism|Heart|Specific blood flow rate [l/min/kg organ],Organism|Kidney|Volume [l],Organism|Kidney|Age of aging onset [year(s)],Organism|Kidney|Aging half-time [year(s)],Organism|Kidney|GFRmat [l/min],Organism|Kidney|Hill coefficient for aging GFR,Organism|Kidney|Hill coefficient for GFR,Organism|Kidney|Maximal decreasing rate factor,Organism|Kidney|TM50 for GFR [week(s)],Organism|Kidney|Specific blood flow rate [l/min/kg organ],Organism|Lumen|Effective surface area variability factor,Organism|Lumen|Stomach|Distal radius [dm],Organism|Lumen|Stomach|Gastric emptying time [min],Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor,Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor,Organism|Lumen|Stomach|Length [dm],Organism|Lumen|Stomach|Proximal radius [dm],Organism|Lumen|Duodenum|Effective surface area enhancement factor,Organism|Lumen|UpperJejunum|Effective surface area enhancement factor,Organism|Lumen|LowerJejunum|Effective surface area enhancement factor,Organism|Lumen|UpperIleum|Effective surface area enhancement factor,Organism|Lumen|LowerIleum|Effective surface area enhancement factor,Organism|Lumen|Caecum|Effective surface area enhancement factor,Organism|Lumen|ColonAscendens|Effective surface area enhancement factor,Organism|Lumen|ColonTransversum|Effective surface area enhancement factor,Organism|Lumen|ColonDescendens|Effective surface area enhancement factor,Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor,Organism|Lumen|Rectum|Effective surface area enhancement factor,Organism|Stomach|Volume [l],Organism|Stomach|Specific blood flow rate [l/min/kg organ],Organism|SmallIntestine|Small intestinal transit time [min],Organism|SmallIntestine|Volume [l],Organism|SmallIntestine|Specific blood flow rate [l/min/kg organ],Organism|LargeIntestine|Large intestinal transit time [min],Organism|LargeIntestine|Volume [l],Organism|LargeIntestine|Specific blood flow rate [l/min/kg organ],Organism|Liver|Volume [l],Organism|Liver|Specific blood flow rate [l/min/kg organ],Organism|Lung|Volume [l],Organism|Lung|Fraction vascular,Organism|Muscle|Volume [l],Organism|Muscle|Vf (lipid),Organism|Muscle|Vf (neutral lipid)-PT,Organism|Muscle|Vf (phospholipid)-PT,Organism|Muscle|Vf (protein),Organism|Muscle|Vf (water),Organism|Muscle|Vf (water)-PT,Organism|Muscle|Fraction interstitial,Organism|Muscle|Vf (neutral lipid)-RR,Organism|Muscle|Vf (neutral lipid)-WS,Organism|Muscle|Vf (neutral phospholipid)-RR,"Organism|Muscle|Vf (neutral phospholipid, plasma)-WS",Organism|Muscle|Vf (extracellular water)-RR,Organism|Muscle|Vf (protein)-WS,Organism|Muscle|Vf (intracellular water)-RR,Organism|Muscle|Vf (water)-WS,Organism|Muscle|Specific blood flow rate [l/min/kg organ],Organism|Pancreas|Volume [l],Organism|Pancreas|Specific blood flow rate [l/min/kg organ],Organism|PortalVein|Volume [l],Organism|Skin|Volume [l],Organism|Skin|Specific blood flow rate [l/min/kg organ],Organism|Spleen|Volume [l],Organism|Spleen|Specific blood flow rate [l/min/kg organ],PD-1|Reference concentration [µmol/l]
0,MALE,WhiteAmerican_NHANES_1997,Human,64.22053818,1.154781984,1.298920363,0.2545637,0.0011,0.217717709,175.0408656,17.57806312,40,17.1747369,0.417889414,0.808825956,0.365651314,0.034912032,8.912115506,1.529201206,0.548180242,18.4911032,0.742030961,0.732755574,0.001855077,0.209687748,0.207969039,0.249562847,0.791190512,0.853335605,0.001484062,0.001877338,0.187172135,0.012478142,0.041593808,0.030946541,0.021340545,0.159804973,0.416688829,0.842007969,0.275779957,30,54,0.080221943,1.5,15.2628125,0,45.40089509,3.58875056,0.662083623,0.478824738,11.63365672,1.222501648,0.859288402,1.91528239,0.478824738,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.167612076,0.458450055,51.55686063,0.633772016,1.117862608,2530.265019,0.303562968,0.740380636,1.198677309,0.24340114,0.659194687,0.58,26.82223514,0.013,0.0238,0.0072,0.177,0.811,0.76,0.176562583,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.03569375,0.178397348,0.444247088,0.927527149,2.342212188,0.123057733,0.166640784,0.815073118,1.16E-06
1,MALE,WhiteAmerican_NHANES_1997,Human,52.67536178,1.04563187,0.594984758,0.2545637,0.0011,0.289559347,140.4845884,8.724421149,40,13.48760905,0.409645866,0.412333285,0.170746673,0.052158158,4.660740368,1.517575822,0.598331098,29.55829113,0.689386108,0.680768781,0.001723465,0.260613892,0.260613892,0.312736671,0.735057937,0.792794024,0.001378772,0.001744147,0.234552503,0.015636834,0.052122778,0.032876039,0.00224259,1.004212337,0.194228403,1.117675081,0.292348476,30,54,0.050164458,1.5,14.80929601,0,43.83854333,3.173743576,1.4828375,0.371031012,11.92132124,1.644397178,1.008111424,1.484113842,0.371031012,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.106795828,0.533949808,158.9113618,0.391262917,1.30307464,2505,0.228664779,0.924616214,1.116784352,0.301800694,0.455611293,0.58,11.75187138,0.013,0.0238,0.0072,0.177,0.811,0.76,0.250204631,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.035057031,0.045305798,0.687756311,0.453029522,1.165358633,0.257813612,0.152170524,1.239756825,1.14E-06
2,MALE,WhiteAmerican_NHANES_1997,Human,66.14774694,0.940676713,1.395342286,0.2545637,0.0011,0.214076066,179.7221886,58.59349969,40,17.57816231,0.444628575,0.905115081,0.499951086,0.024952771,11.33388684,1.546622255,0.507769714,11.78474014,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.021375216,0.031656441,0.076296868,0.314892428,0.642664036,0.450468409,30,54,0.086171443,1.5,14.42472799,0,43.8551331,2.978888022,1.202833194,0.5,12.72513665,0.517857079,0.628411545,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.202740535,0.372999046,128.1989077,0.798281005,0.792026709,2652,0.271351283,0.532871301,3.137826786,0.226196702,1.018518027,0.58,29.33925421,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.041901505,0.198187563,0.306097615,0.775635856,3.410048313,0.079828573,0.128570681,0.711451953,1.15E-06
3,MALE,WhiteAmerican_NHANES_1997,Human,76.79554129,1.036131711,1.368814301,0.2545637,0.0011,0.279586239,188.0314485,63.57529317,40,16.57334255,0.437391925,0.889189793,0.390537078,0.025135326,9.744558243,1.478415467,0.512402401,28.25154033,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020306287,0.03054437,0.075139648,0.406112695,0.5998218,0.418591236,30,54,0.160652223,1.5,14.85205727,0,44.21864542,3.054704153,0.584121517,0.5,12.18202327,1.02777596,1.013285797,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.189976057,0.357599839,162.7190903,0.721745837,0.783317455,2652,0.343624982,0.651398082,1.703220492,0.249806948,1.142643315,0.58,26.22687269,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.050838592,0.183058873,0.33130863,0.82430649,3.740167833,0.075437193,0.110435504,0.751334572,1.15E-06
4,MALE,WhiteAmerican_NHANES_1997,Human,91.1716172,0.857600768,1.1600514,0.2545637,0.0011,0.283783335,213.0617341,55.12678313,40,17.92405985,0.437856058,0.894159923,0.458129757,0.028063655,11.84628203,1.557808168,0.54425245,27.70128213,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020040293,0.030140465,0.088429491,0.3145672,0.646341516,0.338002477,30,54,0.067534991,1.5,15.00724559,0,46.90857949,2.932668297,0.543402282,0.5,25.01108273,3.859583696,0.677936173,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.191417759,0.360071141,154.9450336,0.725754686,0.868361056,2652,0.25311642,0.589567945,2.089320569,0.21677957,1.66973313,0.58,37.79538772,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.043812428,0.235186249,0.343003281,0.871526464,3.94408209,0.080811187,0.255719954,0.766443904,1.16E-06
5,MALE,WhiteAmerican_NHANES_1997,Human,115.9980498,1.119017025,1.038085747,0.2545637,0.0011,0.334243868,245.0076187,49.59129203,40,18.62917489,0.46121346,0.97319572,0.4543387,0.026678321,12.5611228,1.466784807,0.541119122,53.21725518,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.021070261,0.032020385,0.080788563,0.411594135,0.61495887,0.472156691,30,54,0.147070341,1.5,14.97545262,0,45.4504557,2.97530238,1.910832345,0.5,15.75728547,1.180764749,1.100893225,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.131021294,0.412140691,144.3209308,0.854386372,0.856884244,2652,0.546223928,0.628126834,2.134432302,0.201237264,1.080966013,0.58,35.28375612,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.038702758,0.205224546,0.313089771,0.923390778,4.888775222,0.086880037,0.361404851,0.777565212,1.15E-06
6,MALE,WhiteAmerican_NHANES_1997,Human,90.09326191,0.818850196,1.071336348,0.2545637,0.0011,0.323253957,204.4046195,63.70066968,40,16.69453131,0.407030091,1.088654842,0.339262703,0.024524171,9.411952695,1.432900777,0.509682412,38.86365684,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.021430553,0.030098468,0.075622225,0.394686628,0.568010095,0.528810139,30,54,0.116806415,1.5,14.84071659,0,44.06450055,2.943765972,1.182250127,0.5,18.38488524,0.863585506,1.010824313,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.16049727,0.370587784,221.4122348,0.773942586,0.875137239,2652,0.328968469,0.593849695,1.445550863,0.231977331,0.874600182,0.58,28.60033126,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.042182675,0.22849672,0.316691736,0.869848323,4.362225084,0.07967087,0.358778069,0.789009379,1.14E-06
7,MALE,WhiteAmerican_NHANES_1997,Human,95.09221156,0.838268024,1.60576359,0.2545637,0.0011,0.29527811,217.725017,38.83047241,40,17.94555307,0.444459539,0.868072383,0.363108595,0.026791423,12.74261954,1.581323548,0.511546511,34.00193049,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.022233566,0.040906053,0.077487421,0.356526731,0.625367761,0.569018409,30,54,0.119890879,1.5,14.78195342,0,43.5591009,2.866637123,0.549648362,0.5,17.17820308,4.730506041,1.454259529,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.149904792,0.353369235,77.06166608,0.805082805,0.900791193,2652,0.413518675,0.617852003,2.506551842,0.186852024,1.347806341,0.58,33.4636623,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.036147723,0.206441696,0.376109229,1.010008803,4.342072432,0.0854552,0.323656124,0.79162456,1.17E-06
8,MALE,WhiteAmerican_NHANES_1997,Human,89.01507767,1.163404562,0.711661428,0.2545637,0.0011,0.254538237,215.0388152,22.44395409,40,18.70058839,0.452702835,0.917106842,0.390867241,0.030538705,11.553091,1.487288695,0.568945449,35.21124768,0.764738452,0.755179222,0.001911846,0.190224184,0.185261548,0.222313857,0.815402375,0.87944922,0.001529477,0.001934788,0.166735393,0.011115693,0.03705231,0.027547634,0.030824647,0.117791314,0.451600912,0.78088705,0.522339382,30,54,0.096524289,1.5,14.8544113,0,45.53906361,3.113490946,1.237335869,0.48711946,19.8698246,0.737341036,0.905330449,1.948467767,0.48711946,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.161612535,0.415952225,742.4680674,0.634099339,1.042967911,2577.95075,0.398253493,0.670809168,2.328113581,0.228656486,0.882350834,0.58,29.43907647,0.013,0.0238,0.0072,0.177,0.811,0.76,0.170074728,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.033441662,0.238452355,0.357550616,1.064107875,3.167380027,0.104634392,0.13726476,0.806886873,1.16E-06
9,MALE,WhiteAmerican_NHANES_1997,Human,64.29777677,1.046685896,1.663263694,0.2545637,0.0011,0.222094823,174.3290623,29.92113702,40,17.01487492,0.442239554,0.925704034,0.371806993,0.027485353,10.66452582,1.463181031,0.491841543,14.60653536,0.799631973,0.789636573,0.00199908,0.160315452,0.150368027,0.180441633,0.852607591,0.919576769,0.001599264,0.002023069,0.135331225,0.009022082,0.030073605,0.023540122,0.040724017,0.081271924,0.426815468,0.622359651,0.441476833,30,54,0.11289047,1.5,14.99353345,0,45.41255335,3.052193017,1.449174118,0.499865565,11.74730978,1.1843194,1.228161019,1.999462154,0.499865565,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.139143383,0.407707525,141.3349169,0.648837028,0.884147508,2651.227143,0.423188186,0.566757627,1.92234652,0.169670195,2.062627155,0.58,25.38344048,0.013,0.0238,0.0072,0.177,0.811,0.76,0.160105151,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.034981454,0.190039432,0.338751136,0.948319503,3.278724865,0.087122749,0.360340668,0.825281716,1.15E-06
