#Project: Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PK-Sim version: 12.2.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IndividualId,Gender,Population,Population Name,Organism|Weight [kg],Organism|Ontogeny factor (alpha1-acid glycoprotein) table,Organism|Ontogeny factor (albumin) table,Organism|Hematocrit,Organism|Ontogeny factor (albumin),Organism|Ontogeny factor (alpha1-acid glycoprotein),Organism|VenousBlood|Volume [l],Organism|ArterialBlood|Volume [l],Organism|Bone|Specific blood flow rate [l/min/kg organ],Organism|Bone|Volume [l],Organism|Brain|Volume [l],Organism|Brain|Specific blood flow rate [l/min/kg organ],Organism|Fat|Volume [l],Organism|Fat|Vf (lipid),Organism|Fat|Vf (neutral lipid)-PT,Organism|Fat|Vf (phospholipid)-PT,Organism|Fat|Fraction interstitial,Organism|Fat|Vf (water),Organism|Fat|Vf (water)-PT,Organism|Fat|Vf (neutral lipid)-RR,Organism|Fat|Vf (neutral lipid)-WS,Organism|Fat|Vf (neutral phospholipid)-RR,"Organism|Fat|Vf (neutral phospholipid, plasma)-WS",Organism|Fat|Vf (extracellular water)-RR,Organism|Fat|Vf (intracellular water)-RR,Organism|Fat|Vf (water)-WS,Organism|Fat|Specific blood flow rate [l/min/kg organ],Organism|Gonads|Volume [l],Organism|Gonads|Specific blood flow rate [l/min/kg organ],Organism|Heart|Volume [l],Organism|Heart|Specific blood flow rate [l/min/kg organ],Organism|Kidney|Volume [l],Organism|Kidney|GFR (specific) [l/min/kg organ],Organism|Kidney|Specific blood flow rate [l/min/kg organ],Organism|Lumen|Effective surface area variability factor,Organism|Lumen|Stomach|Distal radius [dm],Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor,Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor,Organism|Lumen|Stomach|Length [dm],Organism|Lumen|Stomach|Proximal radius [dm],Organism|Lumen|Stomach|Gastric emptying time [min],Organism|Lumen|Duodenum|Effective surface area enhancement factor,Organism|Lumen|UpperJejunum|Effective surface area enhancement factor,Organism|Lumen|LowerJejunum|Effective surface area enhancement factor,Organism|Lumen|UpperIleum|Effective surface area enhancement factor,Organism|Lumen|LowerIleum|Effective surface area enhancement factor,Organism|Lumen|Caecum|Effective surface area enhancement factor,Organism|Lumen|ColonAscendens|Effective surface area enhancement factor,Organism|Lumen|ColonTransversum|Effective surface area enhancement factor,Organism|Lumen|ColonDescendens|Effective surface area enhancement factor,Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor,Organism|Lumen|Rectum|Effective surface area enhancement factor,Organism|Stomach|Volume [l],Organism|Stomach|Specific blood flow rate [l/min/kg organ],Organism|SmallIntestine|Small intestinal transit time [min],Organism|SmallIntestine|Volume [l],Organism|SmallIntestine|Specific blood flow rate [l/min/kg organ],Organism|LargeIntestine|Large intestinal transit time [min],Organism|LargeIntestine|Volume [l],Organism|LargeIntestine|Specific blood flow rate [l/min/kg organ],Organism|Liver|Volume [l],Organism|Liver|Specific blood flow rate [l/min/kg organ],Organism|Lung|Volume [l],Organism|Lung|Fraction vascular,Organism|Muscle|Volume [l],Organism|Muscle|Vf (lipid),Organism|Muscle|Vf (neutral lipid)-PT,Organism|Muscle|Vf (phospholipid)-PT,Organism|Muscle|Vf (protein),Organism|Muscle|Vf (water),Organism|Muscle|Vf (water)-PT,Organism|Muscle|Fraction interstitial,Organism|Muscle|Vf (neutral lipid)-RR,Organism|Muscle|Vf (neutral lipid)-WS,Organism|Muscle|Vf (neutral phospholipid)-RR,"Organism|Muscle|Vf (neutral phospholipid, plasma)-WS",Organism|Muscle|Vf (extracellular water)-RR,Organism|Muscle|Vf (protein)-WS,Organism|Muscle|Vf (intracellular water)-RR,Organism|Muscle|Vf (water)-WS,Organism|Muscle|Specific blood flow rate [l/min/kg organ],Organism|Pancreas|Volume [l],Organism|Pancreas|Specific blood flow rate [l/min/kg organ],Organism|PortalVein|Volume [l],Organism|Skin|Volume [l],Organism|Skin|Specific blood flow rate [l/min/kg organ],Organism|Spleen|Volume [l],Organism|Spleen|Specific blood flow rate [l/min/kg organ]
0,UNKNOWN,Rat,Rat,0.200750163,1,1,0.45,1,1,0.005958428,0.002590621,0.160337532,0.013925254,0.001498287,0.784313529,0.008813452,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.002203363,0.192,0.000705076,4.89583375,0.002027094,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.00096948,1.030302727,268,0.004406726,0.5,810,0.001918688,2.296738631,0.009077855,0.194174757,0.000881345,0.626,0.107524113,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.001145749,0.397436154,0.001322018,0.035253807,0.145833325,0.000528807,1.055555
1,UNKNOWN,Rat,Rat,0.280619362,1,1,0.45,1,1,0.00832901,0.003621309,0.160337532,0.019465468,0.002094386,0.784313529,0.012319916,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.003079979,0.192,0.000985593,4.89583375,0.002833581,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.001355191,1.030302727,268,0.006159958,0.5,810,0.002682046,2.296738631,0.012689514,0.194174757,0.001231992,0.626,0.150302981,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.001601589,0.397436154,0.001847987,0.049279666,0.145833325,0.000739195,1.055555
2,UNKNOWN,Rat,Rat,0.250929431,1,1,0.45,1,1,0.007447789,0.003238169,0.160337532,0.017405994,0.001872797,0.784313529,0.011016452,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.002754113,0.192,0.000881316,4.89583375,0.002533784,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.00121181,1.030302727,268,0.005508226,0.5,810,0.002398282,2.296738631,0.011346945,0.194174757,0.001101645,0.626,0.13440071,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.001432139,0.397436154,0.001652468,0.044065807,0.145833325,0.000660987,1.055555
3,UNKNOWN,Rat,Rat,0.226418713,1,1,0.45,1,1,0.006720291,0.002921866,0.160337532,0.015705781,0.001689863,0.784313529,0.009940368,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.002485092,0.192,0.000795229,4.89583375,0.002286285,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.00109344,1.030302727,268,0.004970184,0.5,810,0.002164018,2.296738631,0.010238579,0.194174757,0.000994037,0.626,0.121272486,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.001292248,0.397436154,0.001491055,0.039761471,0.145833325,0.000596422,1.055555
4,UNKNOWN,Rat,Rat,0.2366282,1,1,0.45,1,1,0.007023317,0.003053616,0.160337532,0.016413973,0.00176606,0.784313529,0.010388591,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.002597148,0.192,0.000831087,4.89583375,0.002389376,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.001142745,1.030302727,268,0.005194295,0.5,810,0.002261596,2.296738631,0.010700248,0.194174757,0.001038859,0.626,0.126740805,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.001350517,0.397436154,0.001558289,0.041554362,0.145833325,0.000623315,1.055555
5,UNKNOWN,Rat,Rat,0.210829189,1,1,0.45,1,1,0.006257581,0.002720688,0.160337532,0.014624397,0.001573511,0.784313529,0.009255947,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.002313987,0.192,0.000740476,4.89583375,0.002128868,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.001018154,1.030302727,268,0.004627974,0.5,810,0.00201502,2.296738631,0.009533626,0.194174757,0.000925595,0.626,0.112922556,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.001203273,0.397436154,0.001388392,0.037023789,0.145833325,0.000555357,1.055555
6,UNKNOWN,Rat,Rat,0.221079823,1,1,0.45,1,1,0.006561828,0.002852969,0.160337532,0.015335443,0.001650016,0.784313529,0.009705977,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.002426494,0.192,0.000776478,4.89583375,0.002232375,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.001067657,1.030302727,268,0.004852988,0.5,810,0.002112991,2.296738631,0.009997156,0.194174757,0.000970598,0.626,0.118412914,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.001261777,0.397436154,0.001455896,0.038823906,0.145833325,0.000582359,1.055555
7,UNKNOWN,Rat,Rat,0.269196595,1,1,0.45,1,1,0.007989973,0.003473901,0.160337532,0.018673115,0.002009133,0.784313529,0.011818427,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.002954607,0.192,0.000945474,4.89583375,0.002718238,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.001300027,1.030302727,268,0.005909214,0.5,810,0.002572872,2.296738631,0.01217298,0.194174757,0.001181843,0.626,0.144184815,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.001536396,0.397436154,0.001772764,0.04727371,0.145833325,0.000709106,1.055555
8,UNKNOWN,Rat,Rat,0.241292974,1,1,0.45,1,1,0.007161771,0.003113814,0.160337532,0.01673755,0.001800876,0.784313529,0.010593386,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.002648347,0.192,0.000847471,4.89583375,0.002436479,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.001165272,1.030302727,268,0.005296693,0.5,810,0.00230618,2.296738631,0.010911188,0.194174757,0.001059339,0.626,0.129239312,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.00137714,0.397436154,0.001589008,0.042373545,0.145833325,0.000635603,1.055555
9,UNKNOWN,Rat,Rat,0.264710768,1,1,0.45,1,1,0.00785683,0.003416013,0.160337532,0.018361951,0.001975653,0.784313529,0.011621488,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.002905372,0.192,0.000929719,4.89583375,0.002672942,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.001278364,1.030302727,268,0.005810744,0.5,810,0.002529998,2.296738631,0.011970133,0.194174757,0.001162149,0.626,0.141782154,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.001510793,0.397436154,0.001743223,0.046485952,0.145833325,0.000697289,1.055555
10,UNKNOWN,Rat,Rat,0.265068776,1,1,0.45,1,1,0.007867456,0.003420633,0.160337532,0.018386785,0.001978325,0.784313529,0.011637206,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.002909301,0.192,0.000930976,4.89583375,0.002676557,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.001280093,1.030302727,268,0.005818603,0.5,810,0.00253342,2.296738631,0.011986322,0.194174757,0.001163721,0.626,0.141973907,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.001512837,0.397436154,0.001745581,0.046548822,0.145833325,0.000698232,1.055555
11,UNKNOWN,Rat,Rat,0.253284143,1,1,0.45,1,1,0.007517679,0.003268556,0.160337532,0.017569331,0.001890371,0.784313529,0.01111983,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.002779957,0.192,0.000889586,4.89583375,0.002557561,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.001223181,1.030302727,268,0.005559915,0.5,810,0.002420787,2.296738631,0.011453424,0.194174757,0.001111983,0.626,0.135661921,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.001445578,0.397436154,0.001667974,0.044479318,0.145833325,0.00066719,1.055555
12,UNKNOWN,Rat,Rat,0.216955802,1,1,0.45,1,1,0.006439424,0.00279975,0.160337532,0.015049376,0.001619237,0.784313529,0.009524921,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.00238123,0.192,0.000761994,4.89583375,0.002190732,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.001047741,1.030302727,268,0.004762461,0.5,810,0.002073575,2.296738631,0.009810669,0.194174757,0.000952492,0.626,0.116204041,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.00123824,0.397436154,0.001428738,0.038099686,0.145833325,0.000571495,1.055555
13,UNKNOWN,Rat,Rat,0.29114606,1,1,0.45,1,1,0.008641451,0.003757153,0.160337532,0.020195664,0.002172951,0.784313529,0.012782066,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.003195516,0.192,0.001022565,4.89583375,0.002939875,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.001406027,1.030302727,268,0.006391033,0.5,810,0.002782656,2.296738631,0.013165528,0.194174757,0.001278207,0.626,0.155941203,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.001661669,0.397436154,0.00191731,0.051128263,0.145833325,0.000766924,1.055555
14,UNKNOWN,Rat,Rat,0.204835854,1,1,0.45,1,1,0.006079694,0.002643345,0.160337532,0.014208662,0.00152878,0.784313529,0.008992824,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.002248206,0.192,0.000719426,4.89583375,0.00206835,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.000989211,1.030302727,268,0.004496412,0.5,810,0.001957738,2.296738631,0.009262609,0.194174757,0.000899282,0.626,0.109712457,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.001169067,0.397436154,0.001348924,0.035971297,0.145833325,0.000539569,1.055555
15,UNKNOWN,Rat,Rat,0.202410925,1,1,0.45,1,1,0.00600772,0.002612052,0.160337532,0.014040455,0.001510682,0.784313529,0.008886364,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.002221591,0.192,0.000710909,4.89583375,0.002043864,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.0009775,1.030302727,268,0.004443182,0.5,810,0.001934561,2.296738631,0.009152955,0.194174757,0.000888636,0.626,0.108413636,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.001155227,0.397436154,0.001332955,0.035545455,0.145833325,0.000533182,1.055555
16,UNKNOWN,Rat,Rat,0.246308617,1,1,0.45,1,1,0.007310639,0.003178539,0.160337532,0.017085466,0.00183831,0.784313529,0.010813586,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.002703396,0.192,0.000865087,4.89583375,0.002487125,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.001189494,1.030302727,268,0.005406793,0.5,810,0.002354118,2.296738631,0.011137994,0.194174757,0.001081359,0.626,0.131925749,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.001405766,0.397436154,0.001622038,0.043254344,0.145833325,0.000648815,1.055555
17,UNKNOWN,Rat,Rat,0.235744571,1,1,0.45,1,1,0.00699709,0.003042213,0.160337532,0.016352679,0.001759465,0.784313529,0.010349797,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.002587449,0.192,0.000827984,4.89583375,0.002380453,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.001138478,1.030302727,268,0.005174898,0.5,810,0.002253151,2.296738631,0.010660291,0.194174757,0.00103498,0.626,0.126267523,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.001345474,0.397436154,0.00155247,0.041399188,0.145833325,0.000620988,1.055555
18,UNKNOWN,Rat,Rat,0.277637676,1,1,0.45,1,1,0.008240511,0.003582831,0.160337532,0.01925864,0.002072132,0.784313529,0.012189013,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.003047253,0.192,0.000975121,4.89583375,0.002803473,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.001340791,1.030302727,268,0.006094506,0.5,810,0.002653548,2.296738631,0.012554683,0.194174757,0.001218901,0.626,0.148705956,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.001584572,0.397436154,0.001828352,0.048756051,0.145833325,0.000731341,1.055555
19,UNKNOWN,Rat,Rat,0.239508195,1,1,0.45,1,1,0.007108797,0.003090782,0.160337532,0.016613747,0.001787555,0.784313529,0.01051503,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.002628757,0.192,0.000841202,4.89583375,0.002418457,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.001156653,1.030302727,268,0.005257515,0.5,810,0.002289122,2.296738631,0.010830481,0.194174757,0.001051503,0.626,0.128283364,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.001366954,0.397436154,0.001577254,0.042060119,0.145833325,0.000630902,1.055555
20,UNKNOWN,Rat,Rat,0.262243209,1,1,0.45,1,1,0.007783591,0.00338417,0.160337532,0.018190786,0.001957236,0.784313529,0.011513156,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.002878289,0.192,0.000921052,4.89583375,0.002648026,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.001266447,1.030302727,268,0.005756578,0.5,810,0.002506414,2.296738631,0.01185855,0.194174757,0.001151316,0.626,0.140460501,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.00149671,0.397436154,0.001726973,0.046052623,0.145833325,0.000690789,1.055555
21,UNKNOWN,Rat,Rat,0.270579286,1,1,0.45,1,1,0.008031013,0.003491745,0.160337532,0.018769027,0.002019452,0.784313529,0.011879131,0.8,0.853,0.002,0.135,0.15,0.12,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.04,0.002969783,0.192,0.00095033,4.89583375,0.0027322,0.57,4.014492609,1,0.06,1,1,0.27,0.06,30,13.8601,10.6762,8.3126,8.1123,11.2215,1.4691,1.6976,1.9235,1.9498,1.9498,2.1221,0.001306704,1.030302727,268,0.005939566,0.5,810,0.002586087,2.296738631,0.012235505,0.194174757,0.001187913,0.626,0.1449254,0.013,0.01,0.009,0.177,0.811,0.756,0.12,0.01,0.0049,0.0072,0.0042,0.118,0.19,0.608,0.76,0.06147541,0.001544287,0.397436154,0.00178187,0.047516525,0.145833325,0.000712748,1.055555
