"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,1.6624916
0,10,1.6229832
0,15,1.5924304
0,20,1.567614
0,25,1.547075
0,30,1.5298008
0,35,1.5150691
0,40,1.5023538
0,45,1.4912635
0,50,1.4815004
0,55,1.4728338
0,60,1.4650817
0,65,1.458098
0,70,1.4517642
0,75,1.4459827
0,80,1.4406728
0,85,1.4357668
0,90,1.4312084
0,95,1.4269495
0,100,1.4229496
0,105,1.4191743
0,110,1.4155942
0,115,1.4121845
0,120,1.4089236
0,125,1.4057933
0,130,1.4027778
0,135,1.3998636
0,140,1.397039
0,145,1.3942944
0,150,1.3916206
0,155,1.3890107
0,160,1.3864579
0,165,1.3839568
0,170,1.3815025
0,175,1.3790908
0,180,1.3767179
0,185,1.374381
0,190,1.3720769
0,195,1.3698032
0,200,1.3675579
0,205,1.3653389
0,210,1.3631448
0,215,1.3609738
0,220,1.3588248
0,225,1.3566965
0,230,1.3545879
0,235,1.352498
0,240,1.350426
0,245,1.348371
0,250,1.3463324
0,255,1.3443097
0,260,1.342302
0,265,1.3403089
0,270,1.33833
0,275,1.3363647
0,280,1.3344128
0,285,1.3324738
0,290,1.3305471
0,295,1.3286327
0,300,1.32673
0,305,1.324839
0,310,1.3229593
0,315,1.3210906
0,320,1.3192326
0,325,1.3173851
0,330,1.315548
0,335,1.313721
0,340,1.3119037
0,345,1.3100963
0,350,1.3082983
0,355,1.3065099
0,360,1.3047304
0,365,1.30296
0,370,1.3011986
0,375,1.2994457
0,380,1.2977016
0,385,1.2959658
0,390,1.2942384
0,395,1.2925192
0,400,1.2908081
0,405,1.2891048
0,410,1.2874095
0,415,1.2857219
0,420,1.284042
0,425,1.2823696
0,430,1.2807046
0,435,1.2790469
0,440,1.2773966
0,445,1.2757534
0,450,1.2741172
0,455,1.2724881
0,460,1.2708659
0,465,1.2692505
0,470,1.2676419
0,475,1.2660401
0,480,1.2644448
0,485,1.262856
0,490,1.2612739
0,495,1.259698
0,500,1.2581285
0,505,1.2565655
0,510,1.2550085
0,515,1.2534578
0,520,1.2519132
0,525,1.2503746
0,530,1.2488421
0,535,1.2473155
0,540,1.2457948
0,545,1.24428
0,550,1.2427709
0,555,1.2412677
0,560,1.2397702
0,565,1.2382783
0,570,1.236792
0,575,1.2353113
0,580,1.2338362
0,585,1.2323664
0,590,1.2309023
0,595,1.2294434
0,600,1.22799
0,605,1.2265419
0,610,1.2250991
0,615,1.2236614
0,620,1.2222291
0,625,1.2208018
0,630,1.2193798
0,635,1.2179629
0,640,1.2165511
0,645,1.2151442
0,650,1.2137424
0,655,1.2123455
0,660,1.2109536
0,665,1.2095666
0,670,1.2081845
0,675,1.2068071
0,680,1.2054347
0,685,1.204067
0,690,1.2027041
0,695,1.2013459
0,700,1.1999924
0,705,1.1986436
0,710,1.1972995
0,715,1.1959599
0,720,1.1946249
0,1080,1.1091462
0,1440,1.0405673
0,1800,0.9845539
0,2160,0.93811375
0,2520,0.8990776
0,2880,0.8658401
0,3240,0.8371963
0,3600,0.8122308
0,3960,0.7902402
0,4320,0.770678
0,4680,0.7531152
0,5040,0.73721206
0,5400,0.7226972
0,5760,0.7093516
0,6120,0.6969976
0,6480,0.68548983
0,6840,0.67470866
0,7200,0.66455495
0,7560,0.6549461
0,7920,0.6458128
0,8280,0.63709694
0,8640,0.6287492
0,9000,0.6207276
0,9360,0.6129966
0,9720,0.6055254
0,10080,0.5982878
0,10440,0.5912612
0,10800,0.58442587
0,11160,0.57776475
0,11520,0.5712631
0,11880,0.5649079
0,12240,0.55868787
0,12600,0.55259305
0,12960,0.5466147
0,13320,0.5407451
0,13680,0.53497744
0,14040,0.5293057
0,14400,0.52372444
0,14760,0.518229
0,15120,0.5128151
0,15480,0.5074789
0,15840,0.502217
0,16200,0.4970263
0,16560,0.49190408
0,16920,0.48684782
0,17280,0.48185524
0,17640,0.47692433
0,18000,0.47205317
0,18360,0.46724007
0,18720,0.46248347
0,19080,0.4577819
0,19440,0.4531341
0,19800,0.44853875
0,20160,0.44399476
0,20520,0.43950105
0,20880,0.43505663
0,21240,0.4306606
0,21600,0.42631206
0,21960,0.42201018
0,22320,0.4177542
0,22680,0.4135434
0,23040,0.40937707
0,23400,0.4052545
0,23760,0.4011751
0,24120,0.3971383
0,24480,0.39314342
0,24840,0.38918996
0,25200,0.38527733
0,25560,0.38140506
0,25920,0.3775726
0,26280,0.37377948
0,26640,0.37002522
0,27000,0.36630934
0,27360,0.3626314
0,27720,0.35899094
0,28080,0.35538757
0,28440,0.35182083
0,28800,0.3482903
0,29160,0.34479558
0,29520,0.34133634
0,29880,0.33791208
0,30240,0.33452252
0,30600,0.3311672
0,30960,0.3278458
0,31320,0.32455796
0,31680,0.32130328
0,32040,0.31808147
0,32400,0.3148921
0,32760,0.31173494
0,33120,0.30860955
0,33480,0.30551565
0,33840,0.3024529
0,34200,0.29942098
0,34560,0.29641956
0,34920,0.29344833
0,35280,0.290507
0,35640,0.2875952
0,36000,0.2847127
0,36360,0.28185916
0,36720,0.27903432
0,37080,0.27623785
0,37440,0.27346945
0,37800,0.27072886
0,38160,0.26801577
0,38520,0.26532996
0,38880,0.26267108
0,39240,0.2600389
0,39600,0.25743318
0,39960,0.25485358
0,40320,0.25229985
