"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,0.016624928
0,10,0.016229901
0,15,0.015924487
0,20,0.015676491
0,25,0.0154713085
0,30,0.015298803
0,35,0.015151743
0,40,0.0150248585
0,45,0.014914229
0,50,0.014816873
0,55,0.014730482
0,60,0.014653234
0,65,0.014583666
0,70,0.014520593
0,75,0.014463039
0,80,0.014410198
0,85,0.014361393
0,90,0.014316059
0,95,0.014273716
0,100,0.014233961
0,105,0.014196449
0,110,0.014160887
0,115,0.014127025
0,120,0.01409465
0,125,0.014063577
0,130,0.01403365
0,135,0.014004735
0,140,0.0139767155
0,145,0.013949491
0,150,0.013922975
0,155,0.013897095
0,160,0.013871785
0,165,0.013846991
0,170,0.013822662
0,175,0.013798758
0,180,0.0137752425
0,185,0.013752082
0,190,0.01372925
0,195,0.013706721
0,200,0.013684474
0,205,0.01366249
0,210,0.013640752
0,215,0.013619245
0,220,0.013597956
0,225,0.013576873
0,230,0.013555985
0,235,0.0135352835
0,240,0.013514759
0,245,0.013494405
0,250,0.013474213
0,255,0.013454177
0,260,0.013434292
0,265,0.013414552
0,270,0.013394952
0,275,0.013375488
0,280,0.013356156
0,285,0.01333695
0,290,0.013317869
0,295,0.013298909
0,300,0.013280066
0,305,0.013261338
0,310,0.013242721
0,315,0.013224212
0,320,0.013205811
0,325,0.013187515
0,330,0.01316932
0,335,0.013151226
0,340,0.013133229
0,345,0.013115328
0,350,0.013097522
0,355,0.013079808
0,360,0.013062185
0,365,0.013044652
0,370,0.013027205
0,375,0.013009846
0,380,0.012992571
0,385,0.01297538
0,390,0.012958271
0,395,0.012941244
0,400,0.012924296
0,405,0.012907427
0,410,0.012890635
0,415,0.012873921
0,420,0.012857282
0,425,0.012840716
0,430,0.012824225
0,435,0.012807806
0,440,0.012791459
0,445,0.012775184
0,450,0.012758978
0,455,0.012742841
0,460,0.012726773
0,465,0.0127107715
0,470,0.0126948375
0,475,0.01267897
0,480,0.012663168
0,485,0.0126474295
0,490,0.012631756
0,495,0.012616146
0,500,0.0126006
0,505,0.012585115
0,510,0.012569691
0,515,0.012554329
0,520,0.012539027
0,525,0.012523785
0,530,0.012508603
0,535,0.012493479
0,540,0.012478414
0,545,0.012463406
0,550,0.012448456
0,555,0.012433562
0,560,0.0124187255
0,565,0.0124039445
0,570,0.012389219
0,575,0.012374549
0,580,0.012359933
0,585,0.012345372
0,590,0.012330864
0,595,0.0123164095
0,600,0.012302008
0,605,0.01228766
0,610,0.012273363
0,615,0.012259118
0,620,0.012244925
0,625,0.012230783
0,630,0.012216692
0,635,0.01220265
0,640,0.01218866
0,645,0.012174719
0,650,0.012160827
0,655,0.012146985
0,660,0.012133191
0,665,0.012119446
0,670,0.012105749
0,675,0.0120920995
0,680,0.0120784985
0,685,0.012064944
0,690,0.012051436
0,695,0.012037976
0,700,0.012024562
0,705,0.012011194
0,710,0.011997871
0,715,0.011984594
0,720,0.011971363
0,1080,0.011123782
0,1440,0.010443194
0,1800,0.009886877
0,2160,0.009425313
0,2520,0.009037082
0,2880,0.008706315
0,3240,0.008421098
0,3600,0.00817237
0,3960,0.007953163
0,4320,0.0077580637
0,4680,0.0075828196
0,5040,0.0074240617
0,5400,0.007279095
0,5760,0.007145748
0,6120,0.007022256
0,6480,0.0069071758
0,6840,0.0067993184
0,7200,0.006697699
0,7560,0.006601496
0,7920,0.0065100226
0,8280,0.006422699
0,8640,0.006339036
0,9000,0.006258616
0,9360,0.006181085
0,9720,0.0061061387
0,10080,0.0060335156
0,10440,0.0059629893
0,10800,0.005894366
0,11160,0.005827476
0,11520,0.0057621715
0,11880,0.005698324
0,12240,0.0056358217
0,12600,0.005574565
0,12960,0.005514467
0,13320,0.0054554525
0,13680,0.005397452
0,14040,0.005340407
0,14400,0.0052842638
0,14760,0.005228975
0,15120,0.0051744985
0,15480,0.005120797
0,15840,0.005067836
0,16200,0.0050155856
0,16560,0.0049640182
0,16920,0.004913109
0,17280,0.004862836
0,17640,0.0048131784
0,18000,0.004764118
0,18360,0.004715638
0,18720,0.0046677226
0,19080,0.004620358
0,19440,0.00457353
0,19800,0.004527228
0,20160,0.0044814395
0,20520,0.004436155
0,20880,0.004391364
0,21240,0.004347057
0,21600,0.0043032267
0,21960,0.004259864
0,22320,0.0042169616
0,22680,0.004174512
0,23040,0.0041325083
0,23400,0.004090944
0,23760,0.004049813
0,24120,0.004009109
0,24480,0.003968826
0,24840,0.0039289594
0,25200,0.0038895027
0,25560,0.0038504514
0,25920,0.0038118002
0,26280,0.003773544
0,26640,0.0037356785
0,27000,0.003698199
0,27360,0.0036611008
0,27720,0.0036243794
0,28080,0.003588031
0,28440,0.003552051
0,28800,0.0035164354
0,29160,0.0034811802
0,29520,0.0034462814
0,29880,0.0034117352
0,30240,0.0033775377
0,30600,0.0033436853
0,30960,0.003310174
0,31320,0.0032770005
0,31680,0.0032441614
0,32040,0.0032116526
0,32400,0.003179471
0,32760,0.0031476133
0,33120,0.0031160756
0,33480,0.0030848554
0,33840,0.0030539487
0,34200,0.0030233525
0,34560,0.0029930638
0,34920,0.0029630791
0,35280,0.0029333956
0,35640,0.00290401
0,36000,0.0028749194
0,36360,0.0028461206
0,36720,0.002817611
0,37080,0.0027893872
0,37440,0.0027614466
0,37800,0.0027337861
0,38160,0.0027064031
0,38520,0.0026792947
0,38880,0.0026524581
0,39240,0.0026258905
0,39600,0.0025995895
0,39960,0.0025735518
0,40320,0.0025477754
