"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,0.18016174
0,10,0.17612806
0,15,0.1729786
0,20,0.17044275
0,25,0.1683476
0,30,0.16657826
0,35,0.16505621
0,40,0.16372617
0,45,0.16254815
0,50,0.16149247
0,55,0.16053648
0,60,0.15966265
0,65,0.15885708
0,70,0.15810862
0,75,0.1574083
0,80,0.1567487
0,85,0.15612379
0,90,0.15552855
0,95,0.15495881
0,100,0.15441112
0,105,0.15388255
0,110,0.1533707
0,115,0.15287352
0,120,0.15238929
0,125,0.15191656
0,130,0.15145414
0,135,0.15100096
0,140,0.15055615
0,145,0.15011896
0,150,0.14968877
0,155,0.149265
0,160,0.14884722
0,165,0.148435
0,170,0.14802797
0,175,0.14762586
0,180,0.14722838
0,185,0.1468353
0,190,0.14644639
0,195,0.14606151
0,200,0.14568047
0,205,0.14530313
0,210,0.14492933
0,215,0.144559
0,220,0.14419198
0,225,0.1438282
0,230,0.14346755
0,235,0.14310996
0,240,0.14275533
0,245,0.1424036
0,250,0.14205469
0,255,0.14170855
0,260,0.1413651
0,265,0.14102429
0,270,0.14068606
0,275,0.14035036
0,280,0.14001714
0,285,0.13968635
0,290,0.13935794
0,295,0.13903186
0,300,0.13870808
0,305,0.13838656
0,310,0.13806726
0,315,0.13775012
0,320,0.13743512
0,325,0.13712223
0,330,0.1368114
0,335,0.13650261
0,340,0.13619582
0,345,0.13589099
0,350,0.13558811
0,355,0.13528714
0,360,0.13498804
0,365,0.1346908
0,370,0.13439539
0,375,0.13410176
0,380,0.13380992
0,385,0.13351983
0,390,0.13323145
0,395,0.13294478
0,400,0.13265978
0,405,0.13237643
0,410,0.13209473
0,415,0.13181461
0,420,0.13153611
0,425,0.13125916
0,430,0.13098377
0,435,0.1307099
0,440,0.13043755
0,445,0.1301667
0,450,0.12989731
0,455,0.12962937
0,460,0.12936288
0,465,0.12909782
0,470,0.12883416
0,475,0.12857188
0,480,0.128311
0,485,0.12805146
0,490,0.12779327
0,495,0.1275364
0,500,0.12728086
0,505,0.12702662
0,510,0.12677366
0,515,0.12652197
0,520,0.12627155
0,525,0.12602237
0,530,0.12577443
0,535,0.12552771
0,540,0.1252822
0,545,0.1250379
0,550,0.12479477
0,555,0.124552816
0,560,0.12431203
0,565,0.124072395
0,570,0.1238339
0,575,0.12359654
0,580,0.123360306
0,585,0.12312517
0,590,0.12289114
0,595,0.1226582
0,600,0.12242634
0,605,0.12219555
0,610,0.121965826
0,615,0.121737145
0,620,0.121509515
0,625,0.12128291
0,630,0.12105734
0,635,0.120832786
0,640,0.12060924
0,645,0.12038668
0,650,0.120165125
0,655,0.11994455
0,660,0.11972495
0,665,0.11950632
0,670,0.119288646
0,675,0.11907192
0,680,0.11885615
0,685,0.11864131
0,690,0.1184274
0,695,0.11821441
0,700,0.11800235
0,705,0.11779118
0,710,0.11758092
0,715,0.11737156
0,720,0.11716308
0,1080,0.104140386
0,1440,0.09409645
0,1800,0.08611239
0,2160,0.0796119
0,2520,0.07420549
0,2880,0.069621064
0,3240,0.06566468
0,3600,0.062195823
0,3960,0.059111353
0,4320,0.056334592
0,4680,0.053807884
0,5040,0.051487397
0,5400,0.049339462
0,5760,0.04733795
0,6120,0.045462366
0,6480,0.043696478
0,6840,0.04202729
0,7200,0.04044429
0,7560,0.03893887
0,7920,0.037503928
0,8280,0.03613352
0,8640,0.03482263
0,9000,0.033566967
0,9360,0.032362837
0,9720,0.031207012
0,10080,0.030096658
0,10440,0.029029256
0,10800,0.028002545
0,11160,0.02701449
0,11520,0.026063235
0,11880,0.025147082
0,12240,0.024264464
0,12600,0.023413932
0,12960,0.022594135
0,13320,0.021803811
0,13680,0.021041773
0,14040,0.020306902
0,14400,0.019598145
0,14760,0.018914498
0,15120,0.018255012
0,15480,0.017618783
0,15840,0.017004946
0,16200,0.01641268
0,16560,0.015841193
0,16920,0.015289736
0,17280,0.014757582
0,17640,0.01424404
0,18000,0.013748443
0,18360,0.013270151
0,18720,0.01280855
0,19080,0.012363048
0,19440,0.011933077
0,19800,0.011518088
0,20160,0.011117554
0,20520,0.010730967
0,20880,0.010357838
0,21240,0.009997695
0,21600,0.009650082
0,21960,0.009314563
0,22320,0.008990714
0,22680,0.008678128
0,23040,0.008376411
0,23400,0.008085185
0,23760,0.0078040836
0,24120,0.0075327544
0,24480,0.0072708568
0,24840,0.0070180628
0,25200,0.006774055
0,25560,0.0065385276
0,25920,0.006311186
0,26280,0.0060917456
0,26640,0.005879931
0,27000,0.005675478
0,27360,0.0054781293
0,27720,0.0052876393
0,28080,0.005103769
0,28440,0.0049262885
0,28800,0.0047549754
0,29160,0.004589616
0,29520,0.004430003
0,29880,0.0042759366
0,30240,0.004127225
0,30600,0.003983681
0,30960,0.0038451261
0,31320,0.0037113866
0,31680,0.003582295
0,32040,0.0034576901
0,32400,0.003337416
0,32760,0.0032213225
0,33120,0.0031092642
0,33480,0.0030011006
0,33840,0.002896697
0,34200,0.0027959226
0,34560,0.0026986513
0,34920,0.0026047614
0,35280,0.0025141353
0,35640,0.0024266602
0,36000,0.002342226
0,36360,0.0022607273
0,36720,0.0021820622
0,37080,0.0021061325
0,37440,0.0020328427
0,37800,0.0019621013
0,38160,0.0018938199
0,38520,0.0018279129
0,38880,0.0017642977
0,39240,0.0017028949
0,39600,0.0016436275
0,39960,0.0015864215
0,40320,0.001531205
