"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,1.6625572
0,10,1.6231682
0,15,1.5928036
0,20,1.5682286
0,25,1.5479693
0,30,1.5310007
0,35,1.5165914
0,40,1.5042083
0,45,1.4934552
0,50,1.4840311
0,55,1.4757032
0,60,1.4682883
0,65,1.4616395
0,70,1.4556378
0,75,1.4501857
0,80,1.4452022
0,85,1.44062
0,90,1.4363825
0,95,1.4324422
0,100,1.4287585
0,105,1.4252973
0,110,1.4220294
0,115,1.4189297
0,120,1.4159771
0,125,1.4131535
0,130,1.4104431
0,135,1.4078324
0,140,1.40531
0,145,1.402866
0,150,1.4004918
0,155,1.39818
0,160,1.3959242
0,165,1.3937188
0,170,1.3915592
0,175,1.389441
0,180,1.3873607
0,185,1.3853151
0,190,1.3833013
0,195,1.3813169
0,200,1.3793598
0,205,1.3774283
0,210,1.3755205
0,215,1.3736349
0,220,1.3717704
0,225,1.3699256
0,230,1.3680996
0,235,1.3662914
0,240,1.3645002
0,245,1.3627251
0,250,1.3609656
0,255,1.359221
0,260,1.3574905
0,265,1.355774
0,270,1.3540707
0,275,1.3523803
0,280,1.3507023
0,285,1.3490362
0,290,1.347382
0,295,1.345739
0,300,1.3441072
0,305,1.342486
0,310,1.3408754
0,315,1.339275
0,320,1.3376846
0,325,1.3361039
0,330,1.3345327
0,335,1.332971
0,340,1.3314184
0,345,1.3298746
0,350,1.3283398
0,355,1.3268135
0,360,1.3252956
0,365,1.323786
0,370,1.3222846
0,375,1.3207912
0,380,1.3193057
0,385,1.3178278
0,390,1.3163576
0,395,1.3148949
0,400,1.3134396
0,405,1.3119916
0,410,1.3105507
0,415,1.3091168
0,420,1.3076899
0,425,1.3062699
0,430,1.3048567
0,435,1.3034501
0,440,1.3020501
0,445,1.3006566
0,450,1.2992696
0,455,1.2978888
0,460,1.2965144
0,465,1.2951461
0,470,1.2937839
0,475,1.2924279
0,480,1.2910777
0,485,1.2897335
0,490,1.2883953
0,495,1.2870628
0,500,1.285736
0,505,1.2844149
0,510,1.2830993
0,515,1.2817894
0,520,1.280485
0,525,1.279186
0,530,1.2778925
0,535,1.2766043
0,540,1.2753214
0,545,1.2740437
0,550,1.2727712
0,555,1.271504
0,560,1.2702419
0,565,1.2689848
0,570,1.2677327
0,575,1.2664858
0,580,1.2652436
0,585,1.2640065
0,590,1.2627742
0,595,1.2615469
0,600,1.2603241
0,605,1.2591063
0,610,1.2578931
0,615,1.2566847
0,620,1.2554809
0,625,1.2542818
0,630,1.2530872
0,635,1.2518971
0,640,1.2507117
0,645,1.2495307
0,650,1.2483541
0,655,1.247182
0,660,1.2460144
0,665,1.244851
0,670,1.243692
0,675,1.2425375
0,680,1.2413871
0,685,1.240241
0,690,1.2390991
0,695,1.2379615
0,700,1.2368281
0,705,1.2356988
0,710,1.2345737
0,715,1.2334527
0,720,1.2323357
0,1080,1.1613564
0,1440,1.1053346
0,1800,1.0604143
0,2160,1.0239446
0,2520,0.9940046
0,2880,0.9691727
0,3240,0.94838125
0,3600,0.9308186
0,3960,0.91586065
0,4320,0.90302205
0,4680,0.8919216
0,5040,0.88225704
0,5400,0.87378657
0,5760,0.8663152
0,6120,0.8596842
0,6480,0.85376394
0,6840,0.84844744
0,7200,0.843646
0,7560,0.8392857
0,7920,0.8353046
0,8280,0.8316507
0,8640,0.8282797
0,9000,0.8251541
0,9360,0.82224214
0,9720,0.8195163
0,10080,0.81695324
0,10440,0.8145327
0,10800,0.81223714
0,11160,0.81005156
0,11520,0.80796283
0,11880,0.8059595
0,12240,0.80403167
0,12600,0.8021707
0,12960,0.8003689
0,13320,0.7986197
0,13680,0.79691726
0,14040,0.7952565
0,14400,0.7936328
0,14760,0.7920424
0,15120,0.79048157
0,15480,0.78894734
0,15840,0.7874371
0,16200,0.7859482
0,16560,0.7844788
0,16920,0.7830268
0,17280,0.78159064
0,17640,0.78016883
0,18000,0.77876
0,18360,0.77736306
0,18720,0.77597696
0,19080,0.77460074
0,19440,0.77323365
0,19800,0.7718749
0,20160,0.7705239
0,20520,0.76918
0,20880,0.76784277
0,21240,0.7665117
0,21600,0.76518637
0,21960,0.7638664
0,22320,0.7625516
0,22680,0.7612415
0,23040,0.7599359
0,23400,0.7586346
0,23760,0.7573374
0,24120,0.75604403
0,24480,0.75475436
0,24840,0.7534683
0,25200,0.7521856
0,25560,0.75090617
0,25920,0.74963
0,26280,0.7483568
0,26640,0.74708664
0,27000,0.7458194
0,27360,0.74455494
0,27720,0.7432933
0,28080,0.7420343
0,28440,0.74077797
0,28800,0.73952425
0,29160,0.738273
0,29520,0.73702437
0,29880,0.73577815
0,30240,0.7345343
0,30600,0.73329294
0,30960,0.73205394
0,31320,0.73081726
0,31680,0.7295829
0,32040,0.7283509
0,32400,0.72712106
0,32760,0.72589356
0,33120,0.72466826
0,33480,0.7234452
0,33840,0.7222243
0,34200,0.7210056
0,34560,0.7197891
0,34920,0.71857476
0,35280,0.7173626
0,35640,0.71615255
0,36000,0.7149446
0,36360,0.7137388
0,36720,0.71253514
0,37080,0.7113335
0,37440,0.710134
0,37800,0.70893663
0,38160,0.7077413
0,38520,0.70654804
0,38880,0.70535684
0,39240,0.7041677
0,39600,0.70298064
0,39960,0.70179564
0,40320,0.7006126
