"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,0.08312464
0,10,0.081149496
0,15,0.0796224
0,20,0.07838238
0,25,0.077356435
0,30,0.07649386
0,35,0.07575851
0,40,0.07512404
0,45,0.074570835
0,50,0.074084006
0,55,0.073652
0,60,0.07326571
0,65,0.07291782
0,70,0.0726024
0,75,0.07231458
0,80,0.072050326
0,85,0.07180625
0,90,0.07157953
0,95,0.07136778
0,100,0.07116895
0,105,0.070981346
0,110,0.07080349
0,115,0.070634134
0,120,0.07047221
0,125,0.07031681
0,130,0.07016713
0,135,0.07002251
0,140,0.06988237
0,145,0.0697462
0,150,0.06961358
0,155,0.06948414
0,160,0.06935755
0,165,0.06923354
0,170,0.069111854
0,175,0.06899229
0,180,0.06887467
0,185,0.06875883
0,190,0.06864463
0,195,0.068531945
0,200,0.06842067
0,205,0.06831071
0,210,0.06820198
0,215,0.0680944
0,220,0.06798792
0,225,0.06788247
0,230,0.06777799
0,235,0.06767444
0,240,0.06757179
0,245,0.06746998
0,250,0.06736898
0,255,0.06726877
0,260,0.0671693
0,265,0.067070566
0,270,0.06697253
0,275,0.066875175
0,280,0.06677847
0,285,0.06668241
0,290,0.06658697
0,295,0.06649213
0,300,0.06639788
0,305,0.06630421
0,310,0.06621109
0,315,0.066118516
0,320,0.06602647
0,325,0.065934956
0,330,0.06584395
0,335,0.06575344
0,340,0.06566342
0,345,0.065573886
0,350,0.06548482
0,355,0.06539622
0,360,0.06530807
0,365,0.06522037
0,370,0.06513311
0,375,0.06504627
0,380,0.06495987
0,385,0.06487388
0,390,0.064788304
0,395,0.06470314
0,400,0.064618364
0,405,0.064533986
0,410,0.06445
0,415,0.06436639
0,420,0.06428317
0,425,0.06420031
0,430,0.06411783
0,435,0.0640357
0,440,0.063953936
0,445,0.06387252
0,450,0.06379147
0,455,0.06371075
0,460,0.06363038
0,465,0.063550346
0,470,0.06347065
0,475,0.063391276
0,480,0.06331224
0,485,0.06323352
0,490,0.06315512
0,495,0.06307705
0,500,0.06299928
0,505,0.06292183
0,510,0.062844686
0,515,0.06276784
0,520,0.06269131
0,525,0.06261507
0,530,0.06253913
0,535,0.06246348
0,540,0.06238813
0,545,0.062313065
0,550,0.062238283
0,555,0.062163793
0,560,0.06208958
0,565,0.06201565
0,570,0.061941996
0,575,0.061868615
0,580,0.06179551
0,585,0.061722677
0,590,0.061650112
0,595,0.06157781
0,600,0.06150578
0,605,0.061434012
0,610,0.0613625
0,615,0.06129125
0,620,0.061220262
0,625,0.061149526
0,630,0.061079044
0,635,0.061008815
0,640,0.060938835
0,645,0.060869105
0,650,0.060799625
0,655,0.060730387
0,660,0.060661394
0,665,0.060592644
0,670,0.060524132
0,675,0.060455862
0,680,0.06038783
0,685,0.060320035
0,690,0.060252473
0,695,0.060185146
0,700,0.060118053
0,705,0.060051188
0,710,0.059984554
0,715,0.059918147
0,720,0.059851967
0,1080,0.05561264
0,1440,0.052208662
0,1800,0.049426306
0,2160,0.04711791
0,2520,0.045176312
0,2880,0.043522142
0,3240,0.042095795
0,3600,0.040851954
0,3960,0.039755765
0,4320,0.03878015
