"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,3.3249052
0,10,3.245867
0,15,3.184729
0,20,3.1350536
0,25,3.0939245
0,30,3.0593188
0,35,3.029794
0,40,3.0043
0,45,2.982055
0,50,2.9624643
0,55,2.9450672
0,60,2.9294999
0,65,2.9154704
0,70,2.9027417
0,75,2.8911188
0,80,2.8804398
0,85,2.8705702
0,90,2.861396
0,95,2.852822
0,100,2.844767
0,105,2.8371618
0,110,2.829948
0,115,2.8230753
0,120,2.8165007
0,125,2.810188
0,130,2.8041053
0,135,2.7982259
0,140,2.7925262
0,145,2.7869866
0,150,2.7815897
0,155,2.7763205
0,160,2.7711658
0,165,2.7661152
0,170,2.7611585
0,175,2.7562873
0,180,2.7514944
0,185,2.7467732
0,190,2.7421184
0,195,2.7375247
0,200,2.7329879
0,205,2.7285044
0,210,2.7240708
0,215,2.719684
0,220,2.7153409
0,225,2.7110398
0,230,2.7067785
0,235,2.7025547
0,240,2.698367
0,245,2.6942139
0,250,2.6900938
0,255,2.6860054
0,260,2.6819475
0,265,2.6779191
0,270,2.6739194
0,275,2.6699471
0,280,2.6660018
0,285,2.6620824
0,290,2.6581883
0,295,2.6543188
0,300,2.6504734
0,305,2.646651
0,310,2.6428516
0,315,2.6390746
0,320,2.6353192
0,325,2.6315851
0,330,2.627872
0,335,2.6241791
0,340,2.6205063
0,345,2.6168532
0,350,2.6132193
0,355,2.6096044
0,360,2.606008
0,365,2.6024299
0,370,2.5988698
0,375,2.5953274
0,380,2.5918024
0,385,2.5882943
0,390,2.5848033
0,395,2.5813289
0,400,2.5778706
0,405,2.5744286
0,410,2.5710025
0,415,2.5675921
0,420,2.564197
0,425,2.5608175
0,430,2.557453
0,435,2.5541034
0,440,2.5507684
0,445,2.547448
0,450,2.5441418
0,455,2.54085
0,460,2.537572
0,465,2.534308
0,470,2.5310578
0,475,2.527821
0,480,2.524598
0,485,2.5213878
0,490,2.518191
0,495,2.5150073
0,500,2.5118363
0,505,2.5086782
0,510,2.5055327
0,515,2.5024
0,520,2.4992793
0,525,2.4961712
0,530,2.4930751
0,535,2.4899912
0,540,2.4869192
0,545,2.483859
0,550,2.4808109
0,555,2.4777741
0,560,2.474749
0,565,2.4717357
0,570,2.4687335
0,575,2.4657426
0,580,2.462763
0,585,2.4597945
0,590,2.4568372
0,595,2.4538906
0,600,2.4509552
0,605,2.4480302
0,610,2.4451163
0,615,2.4422128
0,620,2.43932
0,625,2.4364378
0,630,2.4335659
0,635,2.4307044
0,640,2.427853
0,645,2.425012
0,650,2.4221814
0,655,2.4193606
0,660,2.41655
0,665,2.4137492
0,670,2.4109583
0,675,2.4081771
0,680,2.405406
0,685,2.4026444
0,690,2.3998926
0,695,2.3971503
0,700,2.3944175
0,705,2.3916943
0,710,2.3889804
0,715,2.3862758
0,720,2.3835807
0,1080,2.2111044
0,1440,2.0728772
0,1800,1.9600846
0,2160,1.8666494
0,2520,1.7881716
0,2880,1.7213992
0,3240,1.6638936
0,3600,1.6138037
0,3960,1.5697082
0,4320,1.5305035
0,4680,1.4953243
0,5040,1.4634852
0,5400,1.434439
0,5760,1.4077446
0,6120,1.3830442
0,6480,1.3600453
0,6840,1.3385068
0,7200,1.3182294
0,7560,1.299047
0,7920,1.2808203
0,8280,1.263432
0,8640,1.2467834
0,9000,1.23079
0,9360,1.2153802
0,9720,1.2004925
0,10080,1.1860739
0,10440,1.172079
0,10800,1.1584681
0,11160,1.1452073
0,11520,1.1322665
0,11880,1.1196197
0,12240,1.1072444
0,12600,1.0951203
0,12960,1.0832299
0,13320,1.0715579
0,13680,1.0600902
0,14040,1.0488149
0,14400,1.0377213
0,14760,1.0267996
0,15120,1.0160413
0,15480,1.0054386
0,15840,0.99498487
0,16200,0.98467374
0,16560,0.9744997
0,16920,0.9644577
0,17280,0.9545432
0,17640,0.944752
0,18000,0.9350803
0,18360,0.9255247
0,18720,0.916082
0,19080,0.90674937
0,19440,0.89752406
0,19800,0.88840353
0,20160,0.8793856
0,20520,0.870468
0,20880,0.8616488
0,21240,0.8529261
0,21600,0.8442981
0,21960,0.8357632
0,22320,0.82731986
0,22680,0.8189665
0,23040,0.8107018
0,23400,0.8025243
0,23760,0.7944328
0,24120,0.78642607
0,24480,0.7785029
0,24840,0.7706621
0,25200,0.7629027
0,25560,0.7552236
0,25920,0.7476237
0,26280,0.74010205
0,26640,0.7326577
0,27000,0.7252897
0,27360,0.7179972
0,27720,0.71077925
0,28080,0.7036349
0,28440,0.6965635
0,28800,0.68956405
0,29160,0.68263584
0,29520,0.67577803
0,29880,0.66898984
0,30240,0.6622705
0,30600,0.65561926
0,30960,0.6490354
0,31320,0.64251816
0,31680,0.6360668
0,32040,0.6296807
0,32400,0.62335914
0,32760,0.6171014
0,33120,0.61090684
0,33480,0.6047748
0,33840,0.5987045
0,34200,0.5926955
0,34560,0.586747
0,34920,0.58085847
0,35280,0.57502925
0,35640,0.5692587
0,36000,0.5635463
0,36360,0.5578913
0,36720,0.5522933
0,37080,0.54675156
0,37440,0.54126555
0,37800,0.5358347
0,38160,0.5304585
0,38520,0.5251363
0,38880,0.51986766
0,39240,0.5146519
0,39600,0.5094886
0,39960,0.5043771
0,40320,0.49931702
0,40680,0.49430776
0,41040,0.4893488
0,41400,0.48443964
0,41760,0.47957978
0,42120,0.4747687
0,42480,0.47000593
0,42840,0.465291
0,43200,0.46062338
0,43560,0.45600262
0,43920,0.45142823
0,44280,0.44689974
0,44640,0.44241673
0,45000,0.43797868
0,45360,0.43358517
0,45720,0.42923576
0,46080,0.42492998
0,46440,0.4206674
0,46800,0.41644758
0,47160,0.41227013
0,47520,0.40813455
0,47880,0.40404046
0,48240,0.39998743
0,48600,0.39597508
0,48960,0.39200297
0,49320,0.3880707
0,49680,0.38417786
0,50040,0.38032407
0,50400,0.37650892
0,50760,0.37273204
0,51120,0.36899304
0,51480,0.36529154
0,51840,0.36162716
0,52200,0.3579995
0,52560,0.35440823
0,52920,0.350853
0,53280,0.3473334
0,53640,0.34384906
0,54000,0.3403997
0,54360,0.3369849
0,54720,0.33360437
0,55080,0.33025768
0,55440,0.3269446
0,55800,0.3236647
0,56160,0.3204177
0,56520,0.31720325
0,56880,0.31402102
0,57240,0.3108707
0,57600,0.30775195
0,57960,0.3046645
0,58320,0.30160797
0,58680,0.29858208
0,59040,0.29558653
0,59400,0.29262102
0,59760,0.28968522
0,60120,0.28677884
0,60480,0.2839016
0,60840,0.28105322
0,61200,0.27823338
0,61560,0.2754418
0,61920,0.2726782
0,62280,0.2699423
0,62640,0.26723385
0,63000,0.26455253
0,63360,0.26189807
0,63720,0.25927025
0,64080,0.25666875
0,64440,0.25409332
0,64800,0.2515437
0,65160,0.24901964
0,65520,0.24652086
0,65880,0.24404715
0,66240,0.24159822
0,66600,0.23917383
0,66960,0.23677374
0,67320,0.23439772
0,67680,0.2320455
0,68040,0.22971685
0,68400,0.22741154
0,68760,0.22512934
0,69120,0.22287
0,69480,0.22063331
0,69840,0.21841905
0,70200,0.21622695
0,70560,0.21405683
0,70920,0.21190846
0,71280,0.20978163
0,71640,0.2076761
0,72000,0.20559168
0,72360,0.20352814
0,72720,0.20148528
0,73080,0.19946288
0,73440,0.19746076
0,73800,0.1954787
0,74160,0.19351651
0,74520,0.19157396
0,74880,0.1896509
0,75240,0.18774709
0,75600,0.18586238
0,75960,0.18399653
0,76320,0.1821494
0,76680,0.18032075
0,77040,0.17851046
0,77400,0.17671828
0,77760,0.17494407
0,78120,0.17318764
0,78480,0.1714488
0,78840,0.16972739
0,79200,0.16802323
0,79560,0.16633615
0,79920,0.16466597
0,80280,0.1630125
0,80640,0.16137563
0,81000,0.15975516
0,81360,0.15815091
0,81720,0.15656275
0,82080,0.15499048
0,82440,0.15343398
0,82800,0.15189306
0,83160,0.1503676
0,83520,0.14885741
0,83880,0.14736237
0,84240,0.1458823
0,84600,0.14441705
0,84960,0.14296648
0,85320,0.14153044
0,85680,0.1401088
0,86040,0.1387014
0,86400,0.1373081
0,86760,0.13592876
0,87120,0.13456324
0,87480,0.1332114
0,87840,0.1318731
0,88200,0.13054821
0,88560,0.1292366
0,88920,0.12793812
0,89280,0.12665266
0,89640,0.12538007
0,90000,0.124120235
0,90360,0.12287302
0,90720,0.121638305
0,91080,0.120415956
0,91440,0.11920585
0,91800,0.11800787
0,92160,0.11682189
0,92520,0.11564779
0,92880,0.11448546
0,93240,0.11333477
0,93600,0.1121956
0,93960,0.111067854
0,94320,0.10995141
