"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,2.4936295
0,10,2.4343576
0,15,2.3885152
0,20,2.3512745
0,25,2.3204467
0,30,2.2945142
0,35,2.272394
0,40,2.2532978
0,45,2.2366388
0,50,2.2219708
0,55,2.2089477
0,60,2.1972966
0,65,2.1867988
0,70,2.177276
0,75,2.168582
0,80,2.1605957
0,85,2.153216
0,90,2.1463578
0,95,2.139949
0,100,2.1339293
0,105,2.1282465
0,110,2.1228573
0,115,2.1177235
0,120,2.1128132
0,125,2.1080987
0,130,2.1035569
0,135,2.0991673
0,140,2.0949123
0,145,2.0907772
0,150,2.0867488
0,155,2.0828161
0,160,2.0789692
0,165,2.0752
0,170,2.0715013
0,175,2.0678666
0,180,2.0642903
0,185,2.060768
0,190,2.0572948
0,195,2.0538676
0,200,2.0504832
0,205,2.0471382
0,210,2.0438306
0,215,2.040558
0,220,2.0373185
0,225,2.0341098
0,230,2.030931
0,235,2.0277803
0,240,2.0246565
0,245,2.0215585
0,250,2.018485
0,255,2.0154355
0,260,2.0124087
0,265,2.009404
0,270,2.0064204
0,275,2.0034575
0,280,2.0005147
0,285,1.9975911
0,290,1.9946865
0,295,1.9918002
0,300,1.9889317
0,305,1.9860806
0,310,1.9832467
0,315,1.9804292
0,320,1.977628
0,325,1.9748427
0,330,1.972073
0,335,1.9693184
0,340,1.9665787
0,345,1.9638537
0,350,1.9611431
0,355,1.9584466
0,360,1.9557639
0,365,1.953095
0,370,1.9504392
0,375,1.9477968
0,380,1.9451672
0,385,1.9425504
0,390,1.9399462
0,395,1.9373543
0,400,1.9347746
0,405,1.932207
0,410,1.9296511
0,415,1.9271071
0,420,1.9245745
0,425,1.9220532
0,430,1.9195433
0,435,1.9170443
0,440,1.9145564
0,445,1.9120792
0,450,1.9096129
0,455,1.907157
0,460,1.9047116
0,465,1.9022765
0,470,1.8998517
0,475,1.8974369
0,480,1.8950322
0,485,1.8926373
0,490,1.8902522
0,495,1.8878769
0,500,1.885511
0,505,1.8831549
0,510,1.880808
0,515,1.8784705
0,520,1.8761423
0,525,1.8738232
0,530,1.8715131
0,535,1.8692122
0,540,1.86692
0,545,1.8646368
0,550,1.8623623
0,555,1.8600965
0,560,1.8578392
0,565,1.8555907
0,570,1.8533505
0,575,1.8511188
0,580,1.8488954
0,585,1.8466804
0,590,1.8444735
0,595,1.8422748
0,600,1.8400842
0,605,1.8379017
0,610,1.8357271
0,615,1.8335606
0,620,1.8314018
0,625,1.8292509
0,630,1.8271078
0,635,1.8249723
0,640,1.8228445
0,645,1.8207244
0,650,1.8186117
0,655,1.8165066
0,660,1.814409
0,665,1.8123188
0,670,1.810236
0,675,1.8081604
0,680,1.8060921
0,685,1.8040311
0,690,1.8019773
0,695,1.7999306
0,700,1.797891
0,705,1.7958584
0,710,1.7938329
0,715,1.7918143
0,720,1.7898027
0,1080,1.6610314
0,1440,1.5577717
0,1800,1.4734702
0,2160,1.4036052
0,2520,1.3449007
0,2880,1.2949338
0,3240,1.2518866
0,3600,1.2143788
0,3960,1.1813496
0,4320,1.1519759
0,4680,1.1256111
0,5040,1.1017437
0,5400,1.0799648
0,5760,1.0599447
0,6120,1.0414164
0,6480,1.0241607
0,6840,1.0079978
0,7200,0.9927784
0,7560,0.9783783
0,7920,0.96469337
0,8280,0.951636
0,8640,0.9391321
0,9000,0.9271186
0,9360,0.91554195
0,9720,0.904356
0,10080,0.8935212
0,10440,0.88300353
0,10800,0.8727734
0,11160,0.86280525
0,11520,0.8530767
0,11880,0.8435683
0,12240,0.8342631
0,12600,0.825146
0,12960,0.81620395
0,13320,0.8074253
0,13680,0.7987999
0,14040,0.7903185
0,14400,0.7819732
0,14760,0.7737566
0,15120,0.7656625
0,15480,0.75768507
0,15840,0.7498192
0,16200,0.74206024
0,16560,0.734404
0,16920,0.7268468
0,17280,0.7193852
0,17640,0.71201605
0,18000,0.7047366
0,18360,0.69754416
0,18720,0.6904365
0,19080,0.6834113
0,19440,0.6764667
0,19800,0.6696008
0,20160,0.6628118
0,20520,0.6560982
0,20880,0.64945847
0,21240,0.64289117
0,21600,0.63639504
0,21960,0.6299688
0,22320,0.62361133
0,22680,0.6173215
0,23040,0.6110982
0,23400,0.6049405
0,23760,0.5988474
0,24120,0.59281796
0,24480,0.58685136
0,24840,0.58094674
0,25200,0.5751032
0,25560,0.5693201
0,25920,0.5635965
0,26280,0.5579318
0,26640,0.5523252
0,27000,0.546776
0,27360,0.54128355
0,27720,0.5358472
0,28080,0.53046626
0,28440,0.5251401
0,28800,0.51986814
0,29160,0.5146497
0,29520,0.5094843
0,29880,0.5043712
0,30240,0.49930996
0,30600,0.49429992
0,30960,0.4893406
0,31320,0.48443142
0,31680,0.47957182
0,32040,0.47476134
0,32400,0.4699994
0,32760,0.4652855
0,33120,0.46061915
0,33480,0.45599982
0,33840,0.45142707
0,34200,0.44690037
0,34560,0.44241923
0,34920,0.43798324
0,35280,0.4335919
0,35640,0.42924473
0,36000,0.4249413
0,36360,0.42068115
0,36720,0.41646382
0,37080,0.4122889
0,37440,0.40815595
0,37800,0.40406454
0,38160,0.40001422
0,38520,0.39600462
0,38880,0.39203528
0,39240,0.3881058
0,39600,0.38421583
0,39960,0.3803649
0,40320,0.3765526
0,40680,0.37277862
0,41040,0.36904252
0,41400,0.3653439
0,41760,0.36168242
0,42120,0.35805768
0,42480,0.3544693
0,42840,0.35091695
0,43200,0.34740025
0,43560,0.34391883
0,43920,0.34047234
0,44280,0.33706042
0,44640,0.33368272
0,45000,0.33033893
0,45360,0.32702866
0,45720,0.3237516
0,46080,0.32050738
0,46440,0.31729573
0,46800,0.3141163
0,47160,0.31096873
0,47520,0.30785275
0,47880,0.304768
0,48240,0.30171418
0,48600,0.29869097
0,48960,0.2956981
0,49320,0.29273525
0,49680,0.28980207
0,50040,0.28689834
0,50400,0.2840237
0,50760,0.28117788
0,51120,0.2783606
0,51480,0.27557155
0,51840,0.2728105
0,52200,0.27007708
0,52560,0.2673711
0,52920,0.26469222
0,53280,0.2620402
0,53640,0.25941476
0,54000,0.25681567
0,54360,0.2542426
0,54720,0.25169533
0,55080,0.2491736
0,55440,0.24667715
0,55800,0.24420571
0,56160,0.24175905
0,56520,0.23933692
0,56880,0.23693906
0,57240,0.23456523
0,57600,0.2322152
0,57960,0.22988872
0,58320,0.22758555
0,58680,0.22530548
0,59040,0.22304825
0,59400,0.22081365
0,59760,0.21860144
0,60120,0.21641141
0,60480,0.21424332
0,60840,0.21209696
0,61200,0.20997211
0,61560,0.20786856
0,61920,0.20578608
0,62280,0.20372447
