"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,0.720647
0,10,0.7045059
0,15,0.6918932
0,20,0.68172777
0,25,0.6733199
0,30,0.6662118
0,35,0.6600907
0,40,0.65473664
0,45,0.64999026
0,50,0.6457333
0,55,0.6418755
0,60,0.6383468
0,65,0.63509166
0,70,0.63206565
0,75,0.6292327
0,80,0.6265634
0,85,0.6240333
0,90,0.6216224
0,95,0.6193141
0,100,0.6170944
0,105,0.6149517
0,110,0.61287636
0,115,0.6108601
0,120,0.6088961
0,125,0.6069785
0,130,0.6051024
0,135,0.60326374
0,140,0.60145885
0,145,0.5996849
0,150,0.5979392
0,155,0.5962196
0,160,0.59452415
0,165,0.5928513
0,170,0.5911996
0,175,0.5895678
0,180,0.58795476
0,185,0.5863597
0,190,0.58478165
0,195,0.58321995
0,200,0.58167386
0,205,0.58014286
0,210,0.57862633
0,215,0.5771238
0,220,0.5756349
0,225,0.57415915
0,230,0.5726962
0,235,0.5712457
0,240,0.5698073
0,245,0.5683808
0,250,0.5669657
0,255,0.56556195
0,260,0.56416917
0,265,0.56278723
0,270,0.5614158
0,275,0.56005466
0,280,0.5587037
0,285,0.5573627
0,290,0.55603135
0,295,0.5547096
0,300,0.55339724
0,305,0.55209404
0,310,0.55079997
0,315,0.5495147
0,320,0.5482383
0,325,0.54697037
0,330,0.5457109
0,335,0.5444598
0,340,0.5432169
0,345,0.54198205
0,350,0.5407551
0,355,0.53953594
0,360,0.53832453
0,365,0.53712064
0,370,0.53592426
0,375,0.5347352
0,380,0.5335534
0,385,0.5323788
0,390,0.5312112
0,395,0.5300506
0,400,0.5288968
0,405,0.52774984
0,410,0.5266095
0,415,0.52547574
0,420,0.5243485
0,425,0.5232277
0,430,0.52211326
0,435,0.52100503
0,440,0.519903
0,445,0.5188071
0,450,0.51771724
0,455,0.5166333
0,460,0.51555526
0,465,0.5144831
0,470,0.51341665
0,475,0.51235586
0,480,0.51130074
0,485,0.51025116
0,490,0.5092071
0,495,0.50816846
0,500,0.5071353
0,505,0.50610733
0,510,0.5050847
0,515,0.50406724
0,520,0.503055
0,525,0.5020478
0,530,0.50104564
0,535,0.5000485
0,540,0.49905637
0,545,0.4980691
0,550,0.4970867
0,555,0.4961091
0,560,0.49513626
0,565,0.49416813
0,570,0.49320468
0,575,0.49224585
0,580,0.49129158
0,585,0.49034187
0,590,0.4893967
0,595,0.48845592
0,600,0.4875196
0,605,0.48658767
0,610,0.48566005
0,615,0.48473674
0,620,0.4838177
0,625,0.48290288
0,630,0.48199227
0,635,0.4810858
0,640,0.48018348
0,645,0.47928524
0,650,0.47839102
0,655,0.47750086
0,660,0.47661465
0,665,0.47573242
0,670,0.4748541
0,675,0.4739797
0,680,0.47310913
0,685,0.47224241
0,690,0.4713795
0,695,0.47052032
0,700,0.4696649
0,705,0.4688132
0,710,0.4679652
0,715,0.46712083
0,720,0.4662801
0,1080,0.41385862
0,1440,0.37355834
0,1800,0.34160307
0,2160,0.31563443
0,2520,0.29406568
0,2880,0.27579287
0,3240,0.26003188
0,3600,0.24621665
0,3960,0.23393275
0,4320,0.2228729
0,4680,0.21280657
0,5040,0.20355894
0,5400,0.19499592
0,5760,0.18701366
0,6120,0.17953081
0,6480,0.17248304
0,6840,0.16581888
0,7200,0.15949675
0,7560,0.15348265
0,7920,0.14774849
0,8280,0.1422708
0,8640,0.13702978
0,9000,0.13200851
0,9360,0.12719236
0,9720,0.12256863
0,10080,0.11812609
0,10440,0.11385478
0,10800,0.10974577
0,11160,0.105790995
0,11520,0.10198311
0,11880,0.09831538
0,12240,0.0947816
0,12600,0.09137601
0,12960,0.08809325
0,13320,0.08492831
0,13680,0.08187647
0,14040,0.07893329
0,14400,0.07609456
0,14760,0.0733563
0,15120,0.070714734
0,15480,0.06816625
0,15840,0.06570741
0,16200,0.06333493
0,16560,0.061045673
0,16920,0.05883663
0,17280,0.056704924
0,17640,0.05464778
0,18000,0.052662544
0,18360,0.050746668
0,18720,0.048897695
0,19080,0.047113266
0,19440,0.045391105
0,19800,0.043729033
0,20160,0.042124942
0,20520,0.040576804
0,20880,0.039082665
0,21240,0.037640642
0,21600,0.036248922
0,21960,0.034905754
0,22320,0.033609454
0,22680,0.032358393
0,23040,0.031151002
0,23400,0.029985772
0,23760,0.028861243
0,24120,0.02777601
0,24480,0.026728714
0,24840,0.025718048
0,25200,0.024742749
0,25560,0.023801599
0,25920,0.022893423
0,26280,0.02201709
0,26640,0.021171506
0,27000,0.020355618
0,27360,0.019568408
0,27720,0.018808894
0,28080,0.018076133
0,28440,0.01736921
0,28800,0.01668725
0,29160,0.016029397
0,29520,0.0153948385
0,29880,0.014782782
0,30240,0.014192467
0,30600,0.013623158
0,30960,0.01307415
0,31320,0.012544758
0,31680,0.012034323
0,32040,0.01154221
0,32400,0.011067807
0,32760,0.010610521
0,33120,0.010169783
0,33480,0.009745042
0,33840,0.009335767
0,34200,0.008941443
0,34560,0.008561577
0,34920,0.00819569
0,35280,0.007843318
0,35640,0.0075040157
0,36000,0.0071773506
0,36360,0.0068629035
0,36720,0.0065602707
0,37080,0.0062690605
0,37440,0.005988893
0,37800,0.005719401
0,38160,0.005460229
0,38520,0.005211031
0,38880,0.0049714735
0,39240,0.004741232
0,39600,0.0045199925
0,39960,0.0043074507
0,40320,0.004103312
0,40680,0.0039072903
0,41040,0.0037191089
0,41400,0.0035385008
0,41760,0.0033652068
0,42120,0.0031989766
0,42480,0.003039568
0,42840,0.002886747
0,43200,0.0027402882
0,43560,0.002599973
0,43920,0.0024655913
0,44280,0.00233694
0,44640,0.0022138227
0,45000,0.0020960507
0,45360,0.0019834412
0,45720,0.0018758179
0,46080,0.0017730108
0,46440,0.0016748555
0,46800,0.0015811926
0,47160,0.0014918683
0,47520,0.0014067333
0,47880,0.0013256425
0,48240,0.001248455
0,48600,0.0011750339
0,48960,0.0011052453
0,49320,0.0010389587
0,49680,0.0009760464
0,50040,0.0009163833
0,50400,0.00085984677
0,50760,0.0008063164
0,51120,0.0007556739
0,51480,0.00070780324
0,51840,0.0006625901
0,52200,0.0006199223
0,52560,0.00057968986
0,52920,0.0005417847
0,53280,0.00050610094
0,53640,0.00047253515
0,54000,0.00044098616
0,54360,0.00041135537
0,54720,0.00038354684
0,55080,0.00035746736
0,55440,0.0003330266
0,55800,0.00031013717
0,56160,0.00028871465
0,56520,0.0002686778
0,56880,0.0002499484
0,57240,0.00023245148
0,57600,0.00021611508
0,57960,0.00020087048
0,58320,0.00018665206
0,58680,0.00017339725
0,59040,0.00016104653
0,59400,0.00014954334
0,59760,0.00013883405
0,60120,0.00012886783
0,60480,0.00011959658
0,60840,0.0001109749
0,61200,0.00010295991
0,61560,9.551121E-05
0,61920,8.85908E-05
0,62280,8.216291E-05
0,62640,7.619396E-05
0,63000,7.065245E-05
0,63360,6.550885E-05
0,63720,6.07355E-05
0,64080,5.6306515E-05
0,64440,5.219771E-05
0,64800,4.8386482E-05
0,65160,4.485174E-05
0,65520,4.15738E-05
0,65880,3.8534323E-05
0,66240,3.5716217E-05
0,66600,3.3103574E-05
0,66960,3.0681582E-05
0,67320,2.8436465E-05
0,67680,2.6355421E-05
0,68040,2.4426543E-05
0,68400,2.2638773E-05
0,68760,2.0981839E-05
0,69120,1.944621E-05
0,69480,1.8023029E-05
0,69840,1.6704085E-05
0,70200,1.5481759E-05
0,70560,1.434898E-05
0,70920,1.3299192E-05
0,71280,1.2326318E-05
0,71640,1.14247205E-05
0,72000,1.0589175E-05
0,72360,9.814839E-06
0,72720,9.0972235E-06
0,73080,8.432167E-06
0,73440,7.8158155E-06
0,73800,7.244595E-06
0,74160,6.7151955E-06
0,74520,6.2245495E-06
0,74880,5.7698144E-06
0,75240,5.348356E-06
0,75600,4.9577343E-06
0,75960,4.5956886E-06
0,76320,4.2601237E-06
0,76680,3.9490988E-06
0,77040,3.6608155E-06
0,77400,3.3936074E-06
0,77760,3.1459306E-06
0,78120,2.9163546E-06
0,78480,2.7035542E-06
0,78840,2.5063007E-06
0,79200,2.3234568E-06
0,79560,2.1539672E-06
0,79920,1.9968554E-06
0,80280,1.8512156E-06
0,80640,1.716209E-06
0,81000,1.5910578E-06
0,81360,1.4750415E-06
0,81720,1.3674924E-06
0,82080,1.2677916E-06
0,82440,1.1753657E-06
0,82800,1.089683E-06
0,83160,1.0102511E-06
0,83520,9.3661345E-07
0,83880,8.683468E-07
0,84240,8.0505896E-07
0,84600,7.463865E-07
0,84960,6.9199245E-07
0,85320,6.415646E-07
0,85680,5.9481346E-07
0,86040,5.514707E-07
0,86400,5.112877E-07
0,86760,4.7403387E-07
0,87120,4.3949555E-07
0,87480,4.074747E-07
0,87840,3.7778764E-07
0,88200,3.5026423E-07
0,88560,3.2474665E-07
0,88920,3.0108868E-07
0,89280,2.7915465E-07
0,89640,2.5881897E-07
0,90000,2.3996503E-07
0,90360,2.2248489E-07
0,90720,2.0627834E-07
0,91080,1.9125261E-07
0,91440,1.7732158E-07
0,91800,1.644055E-07
0,92160,1.524304E-07
0,92520,1.4132769E-07
0,92880,1.310338E-07
0,93240,1.214898E-07
0,93600,1.12641054E-07
0,93960,1.0443689E-07
0,94320,9.683034E-08
0,94680,8.977788E-08
0,95040,8.3239115E-08
0,95400,7.7176644E-08
0,95760,7.155575E-08
0,96120,6.634428E-08
0,96480,6.151239E-08
0,96840,5.7032437E-08
0,97200,5.2878786E-08
0,97560,4.9027665E-08
0,97920,4.5457035E-08
0,98280,4.2146468E-08
0,98640,3.9077015E-08
0,99000,3.623112E-08
0,99360,3.3592496E-08
0,99720,3.1146044E-08
0,100080,2.8877768E-08
0,100440,2.6774693E-08
0,100800,2.4824782E-08
0,101160,2.3016883E-08
0,101520,2.134065E-08
0,101880,1.9786496E-08
0,102240,1.8345526E-08
0,102600,1.7009501E-08
0,102960,1.5770775E-08
0,103320,1.4622262E-08
0,103680,1.3557392E-08
0,104040,1.2570072E-08
0,104400,1.1654656E-08
0,104760,1.0805906E-08
0,105120,1.0018969E-08
0,105480,9.28934E-09
0,105840,8.612846E-09
0,106200,7.98562E-09
0,106560,7.404071E-09
0,106920,6.864874E-09
0,107280,6.364944E-09
0,107640,5.9014216E-09
0,108000,5.471655E-09
0,108360,5.0731863E-09
0,108720,4.703736E-09
0,109080,4.3611905E-09
0,109440,4.0435912E-09
0,109800,3.7491206E-09
0,110160,3.476095E-09
0,110520,3.2229521E-09
0,110880,2.9882443E-09
0,111240,2.7706288E-09
0,111600,2.568861E-09
0,111960,2.3817868E-09
0,112320,2.2083362E-09
0,112680,2.0475168E-09
0,113040,1.898409E-09
0,113400,1.7601599E-09
0,113760,1.6319786E-09
0,114120,1.513132E-09
0,114480,1.4029401E-09
0,114840,1.3007729E-09
0,115200,1.2060459E-09
0,115560,1.1182174E-09
0,115920,1.0367848E-09
0,116280,9.612824E-10
0,116640,8.912784E-10
0,117000,8.263723E-10
0,117360,7.66193E-10
0,117720,7.103961E-10
0,118080,6.5866257E-10
0,118440,6.1069644E-10
0,118800,5.6622335E-10
0,119160,5.24989E-10
0,119520,4.8675747E-10
0,119880,4.513101E-10
0,120240,4.184441E-10
0,120600,3.8797157E-10
0,120960,3.5971814E-10
0,121320,3.335222E-10
0,121680,3.0923397E-10
0,122040,2.8671449E-10
0,122400,2.6583494E-10
0,122760,2.4647592E-10
0,123120,2.285267E-10
0,123480,2.118846E-10
0,123840,1.9645444E-10
0,124200,1.8214795E-10
0,124560,1.6888331E-10
0,124920,1.5658465E-10
0,125280,1.4518162E-10
0,125640,1.3460899E-10
0,126000,1.248063E-10
0,126360,1.1571748E-10
0,126720,1.0729054E-10
0,127080,9.9477274E-11
0,127440,9.2233E-11
0,127800,8.5516275E-11
0,128160,7.928869E-11
0,128520,7.351461E-11
0,128880,6.8161025E-11
0,129240,6.319731E-11
0,129600,5.8595066E-11
0,129960,5.4327973E-11
0,130320,5.0371624E-11
0,130680,4.670339E-11
0,131040,4.330229E-11
0,131400,4.014887E-11
0,131760,3.722509E-11
0,132120,3.4514235E-11
0,132480,3.200079E-11
0,132840,2.9670384E-11
0,133200,2.7509684E-11
0,133560,2.5506335E-11
0,133920,2.3648878E-11
0,134280,2.1926686E-11
0,134640,2.032991E-11
0,135000,1.8849417E-11
0,135360,1.7476737E-11
0,135720,1.6204022E-11
0,136080,1.5023989E-11
0,136440,1.3929892E-11
0,136800,1.291547E-11
0,137160,1.1974921E-11
0,137520,1.1102867E-11
0,137880,1.0294318E-11
0,138240,9.544651E-12
0,138600,8.8495765E-12
0,138960,8.205121E-12
0,139320,7.607596E-12
0,139680,7.0535847E-12
0,140040,6.5399188E-12
0,140400,6.0636596E-12
0,140760,5.622083E-12
0,141120,5.212664E-12
0,141480,4.83306E-12
0,141840,4.4811E-12
0,142200,4.154771E-12
0,142560,3.8522067E-12
0,142920,3.5716757E-12
0,143280,3.311574E-12
0,143640,3.0704141E-12
0,144000,2.846816E-12
0,144360,2.6395012E-12
0,144720,2.4472837E-12
0,145080,2.2690643E-12
0,145440,2.1038232E-12
0,145800,1.9506157E-12
0,146160,1.8085652E-12
0,146520,1.6768593E-12
0,146880,1.5547447E-12
0,147240,1.4415229E-12
0,147600,1.3365463E-12
0,147960,1.2392145E-12
0,148320,1.1489707E-12
0,148680,1.0652987E-12
0,149040,9.8772E-13
0,149400,9.157909E-13
0,149760,8.4909987E-13
0,150120,7.8726554E-13
0,150480,7.299342E-13
0,150840,6.767779E-13
0,151200,6.2749263E-13
0,151560,5.817965E-13
0,151920,5.394281E-13
0,152280,5.0014506E-13
0,152640,4.637228E-13
0,153000,4.2995295E-13
0,153360,3.986423E-13
0,153720,3.696118E-13
0,154080,3.4269544E-13
0,154440,3.177392E-13
0,154800,2.9460034E-13
0,155160,2.7314652E-13
0,155520,2.5325507E-13
0,155880,2.3481217E-13
0,156240,2.1771235E-13
0,156600,2.018578E-13
0,156960,1.8715783E-13
0,157320,1.7352836E-13
0,157680,1.6089143E-13
0,158040,1.4917477E-13
0,158400,1.3831136E-13
0,158760,1.2823905E-13
0,159120,1.1890025E-13
0,159480,1.1024153E-13
0,159840,1.0221336E-13
0,160200,9.476984E-14
0,160560,8.786838E-14
0,160920,8.1469506E-14
0,161280,7.5536616E-14
0,161640,7.003578E-14
0,162000,6.493554E-14
0,162360,6.0206716E-14
0,162720,5.5822256E-14
0,163080,5.1757088E-14
0,163440,4.798796E-14
0,163800,4.4493316E-14
0,164160,4.125316E-14
0,164520,3.8248965E-14
0,164880,3.5463545E-14
