"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,0.54048604
0,10,0.5283828
0,15,0.5189279
0,20,0.5113101
0,25,0.5050117
0,30,0.49968898
0,35,0.49510702
0,40,0.49110052
0,45,0.48754987
0,50,0.4843662
0,55,0.48148182
0,60,0.47884408
0,65,0.4764114
0,70,0.47415036
0,75,0.47203398
0,80,0.47004008
0,85,0.46815053
0,90,0.46635023
0,95,0.4646267
0,100,0.46296954
0,105,0.46137
0,110,0.4598208
0,115,0.45831582
0,120,0.45684993
0,125,0.45541874
0,130,0.45401862
0,135,0.45264643
0,140,0.45129955
0,145,0.4499757
0,150,0.44867298
0,155,0.44738972
0,160,0.44612455
0,165,0.44487622
0,170,0.44364366
0,175,0.44242597
0,180,0.4412223
0,185,0.440032
0,190,0.4388544
0,195,0.43768898
0,200,0.4365352
0,205,0.43539268
0,210,0.43426093
0,215,0.43313965
0,220,0.4320285
0,225,0.43092716
0,230,0.42983535
0,235,0.4287528
0,240,0.4276793
0,245,0.4266146
0,250,0.4255585
0,255,0.42451078
0,260,0.42347127
0,265,0.42243978
0,270,0.42141616
0,275,0.42040023
0,280,0.4193918
0,285,0.4183908
0,290,0.41739708
0,295,0.41641045
0,300,0.41543078
0,305,0.414458
0,310,0.41349193
0,315,0.4125325
0,320,0.4115796
0,325,0.4106331
0,330,0.40969285
0,335,0.40875882
0,340,0.4078309
0,345,0.40690893
0,350,0.4059929
0,355,0.40508267
0,360,0.4041782
0,365,0.40327933
0,370,0.40238604
0,375,0.40149823
0,380,0.4006158
0,385,0.39973873
0,390,0.3988669
0,395,0.3980002
0,400,0.39713866
0,405,0.39628214
0,410,0.3954306
0,415,0.39458394
0,420,0.39374214
0,425,0.39290512
0,430,0.39207283
0,435,0.3912452
0,440,0.39042214
0,445,0.38960364
0,450,0.38878965
0,455,0.3879801
0,460,0.38717493
0,465,0.3863741
0,470,0.38557756
0,475,0.38478523
0,480,0.3839971
0,485,0.38321313
0,490,0.38243324
0,495,0.38165742
0,500,0.38088557
0,505,0.3801177
0,510,0.37935376
0,515,0.3785937
0,520,0.37783748
0,525,0.37708506
0,530,0.37633643
0,535,0.3755915
0,540,0.37485024
0,545,0.37411264
0,550,0.37337863
0,555,0.37264824
0,560,0.3719214
0,565,0.37119803
0,570,0.37047815
0,575,0.36976174
0,580,0.36904874
0,585,0.3683391
0,590,0.3676328
0,595,0.36692986
0,600,0.3662302
0,605,0.3655338
0,610,0.3648406
0,615,0.36415064
0,620,0.36346385
0,625,0.3627802
0,630,0.36209968
0,635,0.36142224
0,640,0.3607479
0,645,0.36007658
0,650,0.3594083
0,655,0.35874298
0,660,0.35808066
0,665,0.35742128
0,670,0.35676482
0,675,0.35611126
0,680,0.35546055
0,685,0.35481274
0,690,0.35416773
0,695,0.35352552
0,700,0.35288614
0,705,0.35224947
0,710,0.35161558
0,715,0.35098442
0,720,0.35035595
0,1080,0.31115153
0,1440,0.28098965
0,1800,0.25706214
0,2160,0.23761259
0,2520,0.2214574
0,2880,0.20777205
0,3240,0.19597013
0,3600,0.18562792
0,3960,0.17643486
0,4320,0.16816057
0,4680,0.16063209
0,5040,0.15371811
0,5400,0.14731798
0,5760,0.14135358
0,6120,0.13576381
0,6480,0.13050029
0,6840,0.1255243
0,7200,0.12080457
0,7560,0.11631554
0,7920,0.1120361
0,8280,0.107948594
0,8640,0.10403812
0,9000,0.100291975
0,9360,0.09669918
0,9720,0.09325016
0,10080,0.089936525
0,10440,0.086750776
0,10800,0.08368623
0,11160,0.08073683
0,11520,0.07789708
0,11880,0.07516192
0,12240,0.072526716
0,12600,0.06998715
0,12960,0.067539215
0,13320,0.065179154
0,13680,0.06290344
0,14040,0.060708754
0,14400,0.058591947
0,14760,0.05655005
0,15120,0.054580227
0,15480,0.05267979
0,15840,0.050846163
0,16200,0.0490769
0,16560,0.04736965
0,16920,0.04572217
0,17280,0.04413231
0,17640,0.042597994
0,18000,0.041117243
0,18360,0.03968815
0,18720,0.03830888
0,19080,0.036977675
0,19440,0.035692833
0,19800,0.034452725
0,20160,0.033255775
0,20520,0.03210047
0,20880,0.030985348
0,21240,0.029909004
0,21600,0.028870082
0,21960,0.02786727
0,22320,0.026899314
0,22680,0.025964992
0,23040,0.025063133
0,23400,0.024192607
0,23760,0.023352321
0,24120,0.022541223
0,24480,0.021758297
0,24840,0.021002565
0,25200,0.020273076
0,25560,0.01956892
0,25920,0.018889219
0,26280,0.018233119
0,26640,0.0175998
0,27000,0.016988473
0,27360,0.01639837
0,27720,0.015828758
0,28080,0.015278924
0,28440,0.01474818
0,28800,0.0142358625
0,29160,0.013741333
0,29520,0.013263973
0,29880,0.012803187
0,30240,0.012358398
0,30600,0.011929052
0,30960,0.0115146125
0,31320,0.011114561
0,31680,0.010728399
0,32040,0.010355645
0,32400,0.009995831
0,32760,0.00964851
0,33120,0.009313248
0,33480,0.008989626
0,33840,0.008677239
0,34200,0.008375698
0,34560,0.008084626
0,34920,0.0078036594
0,35280,0.0075324485
0,35640,0.0072706533
0,36000,0.0070179477
0,36360,0.006774016
0,36720,0.006538554
0,37080,0.0063112667
0,37440,0.0060918713
0,37800,0.0058800927
