"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,0.054053456
0,10,0.05285703
0,15,0.051933058
0,20,0.05119868
0,25,0.05060045
0,30,0.050102618
0,35,0.049680635
0,40,0.049317222
0,45,0.048999898
0,50,0.04871943
0,55,0.048468817
0,60,0.04824267
0,65,0.04803675
0,70,0.047847677
0,75,0.047672737
0,80,0.047509715
0,85,0.0473568
0,90,0.047212496
0,95,0.047075573
0,100,0.046944994
0,105,0.04681991
0,110,0.046699602
0,115,0.046583466
0,120,0.046471003
0,125,0.046361785
0,130,0.04625545
0,135,0.046151698
0,140,0.046050273
0,145,0.04595095
0,150,0.045853544
0,155,0.0457579
0,160,0.045663875
0,165,0.045571353
0,170,0.04548023
0,175,0.04539042
0,180,0.04530184
0,185,0.045214426
0,190,0.04512812
0,195,0.045042865
0,200,0.044958614
0,205,0.044875324
0,210,0.044792958
0,215,0.044711486
0,220,0.04463087
0,225,0.044551082
0,230,0.0444721
0,235,0.044393897
0,240,0.04431645
0,245,0.044239737
0,250,0.04416374
0,255,0.044088446
0,260,0.044013828
0,265,0.043939874
0,270,0.04386657
0,275,0.043793898
0,280,0.043721847
0,285,0.0436504
0,290,0.04357955
0,295,0.043509275
0,300,0.043439575
0,305,0.04337043
0,310,0.043301832
0,315,0.04323377
0,320,0.04316624
0,325,0.04309922
0,330,0.04303271
0,335,0.042966697
0,340,0.042901173
0,345,0.042836133
0,350,0.042771563
0,355,0.04270746
0,360,0.042643808
0,365,0.04258061
0,370,0.042517852
0,375,0.042455528
0,380,0.042393632
0,385,0.04233216
0,390,0.0422711
0,395,0.04221045
0,400,0.042150203
0,405,0.04209035
0,410,0.042030886
0,415,0.04197181
0,420,0.04191311
0,425,0.041854788
0,430,0.041796833
0,435,0.04173924
0,440,0.041682005
0,445,0.041625127
0,450,0.041568596
0,455,0.041512407
0,460,0.04145656
0,465,0.04140105
0,470,0.04134587
0,475,0.041291017
0,480,0.041236486
0,485,0.041182276
0,490,0.04112838
0,495,0.041074794
0,500,0.041021515
0,505,0.04096854
0,510,0.040915865
0,515,0.040863488
0,520,0.040811405
0,525,0.040759612
0,530,0.040708106
0,535,0.04065688
0,540,0.04060594
0,545,0.040555272
0,550,0.04050488
0,555,0.040454764
0,560,0.040404912
0,565,0.040355325
0,570,0.040306006
0,575,0.040256944
0,580,0.04020814
0,585,0.04015959
0,590,0.040111296
0,595,0.040063247
0,600,0.040015448
0,605,0.039967895
0,610,0.039920587
0,615,0.039873518
0,620,0.039826684
0,625,0.039780088
0,630,0.039733727
0,635,0.039687596
0,640,0.039641697
0,645,0.039596025
0,650,0.039550576
0,655,0.039505355
0,660,0.03946035
0,665,0.039415568
0,670,0.039371002
0,675,0.039326653
0,680,0.03928252
0,685,0.039238594
0,690,0.039194882
0,695,0.039151378
0,700,0.039108083
0,705,0.03906499
0,710,0.0390221
0,715,0.038979415
0,720,0.038936928
0,1080,0.036321428
0,1440,0.03436265
0,1800,0.03285352
0,2160,0.031666283
0,2520,0.030714728
0,2880,0.029938431
0,3240,0.029294116
0,3600,0.028750276
0,3960,0.028283678
0,4320,0.027876988
0,4680,0.027517151
0,5040,0.027194245
0,5400,0.026900671
0,5760,0.026630564
0,6120,0.02637937
0,6480,0.026143532
0,6840,0.025920255
0,7200,0.025707329
0,7560,0.025503
0,7920,0.025305865
0,8280,0.025114805
0,8640,0.024928913
0,9000,0.024747454
0,9360,0.024569837
0,9720,0.024395576
0,10080,0.02422427
0,10440,0.024055598
0,10800,0.023889286
0,11160,0.023725113
0,11520,0.023562893
0,11880,0.023402471
0,12240,0.023243718
0,12600,0.023086524
0,12960,0.022930797
0,13320,0.022776464
0,13680,0.022623453
0,14040,0.022471713
0,14400,0.022321194
0,14760,0.022171853
0,15120,0.022023655
0,15480,0.02187657
0,15840,0.02173057
0,16200,0.02158563
0,16560,0.021441732
0,16920,0.021298854
0,17280,0.02115698
0,17640,0.021016095
0,18000,0.020876184
0,18360,0.020737236
0,18720,0.02059924
0,19080,0.020462183
0,19440,0.020326057
0,19800,0.020190852
0,20160,0.020056559
0,20520,0.019923167
0,20880,0.019790674
0,21240,0.019659067
0,21600,0.019528339
0,21960,0.019398486
0,22320,0.0192695
0,22680,0.019141372
0,23040,0.0190141
0,23400,0.018887673
0,23760,0.018762087
0,24120,0.018637337
0,24480,0.018513415
0,24840,0.018390317
0,25200,0.018268034
0,25560,0.018146563
0,25920,0.0180259
0,26280,0.017906036
0,26640,0.017786967
0,27000,0.017668687
0,27360,0.017551191
0,27720,0.017434474
0,28080,0.01731853
0,28440,0.017203355
0,28800,0.017088942
0,29160,0.01697529
0,29520,0.016862389
0,29880,0.016750235
0,30240,0.016638825
0,30600,0.016528152
0,30960,0.016418213
0,31320,0.016309002
0,31680,0.016200515
0,32040,0.016092746
0,32400,0.01598569
0,32760,0.015879344
0,33120,0.015773702
0,33480,0.015668761
0,33840,0.015564513
0,34200,0.015460956
0,34560,0.015358085
0,34920,0.015255895
0,35280,0.015154382
0,35640,0.015053541
0,36000,0.014953368
0,36360,0.014853858
0,36720,0.014755008
0,37080,0.014656812
0,37440,0.014559266
0,37800,0.014462366
0,38160,0.014366108
0,38520,0.014270487
0,38880,0.0141755
0,39240,0.014081142
0,39600,0.013987409
0,39960,0.013894296
0,40320,0.0138018
0,40680,0.013709917
0,41040,0.0136186415
0,41400,0.013527972
0,41760,0.013437902
0,42120,0.013348428
0,42480,0.013259547
0,42840,0.013171255
0,43200,0.013083547
0,43560,0.012996421
0,43920,0.0129098715
0,44280,0.012823896
0,44640,0.012738489
0,45000,0.012653647
0,45360,0.012569368
0,45720,0.012485647
0,46080,0.0124024805
0,46440,0.012319865
0,46800,0.012237796
0,47160,0.012156271
0,47520,0.012075286
0,47880,0.011994838
0,48240,0.011914922
0,48600,0.011835535
0,48960,0.011756675
0,49320,0.011678337
0,49680,0.011600518
0,50040,0.011523213
0,50400,0.011446422
0,50760,0.011370138
0,51120,0.011294361
0,51480,0.011219085
0,51840,0.011144307
0,52200,0.011070026
0,52560,0.0109962365
0,52920,0.010922935
0,53280,0.01085012
0,53640,0.010777786
0,54000,0.010705933
0,54360,0.0106345555
0,54720,0.01056365
0,55080,0.010493215
0,55440,0.010423246
0,55800,0.010353741
0,56160,0.010284697
0,56520,0.010216109
0,56880,0.010147977
0,57240,0.010080295
0,57600,0.010013062
0,57960,0.009946275
0,58320,0.009879929
0,58680,0.009814024
0,59040,0.009748555
0,59400,0.00968352
0,59760,0.009618916
0,60120,0.009554739
0,60480,0.009490988
0,60840,0.00942766
0,61200,0.009364751
0,61560,0.0093022585
0,61920,0.009240181
0,62280,0.009178515
0,62640,0.009117256
0,63000,0.009056404
0,63360,0.008995955
0,63720,0.008935907
0,64080,0.008876257
0,64440,0.008817001
0,64800,0.008758139
0,65160,0.008699667
0,65520,0.008641582
0,65880,0.008583882
0,66240,0.008526565
0,66600,0.008469626
0,66960,0.008413066
0,67320,0.008356881
0,67680,0.008301068
0,68040,0.008245625
0,68400,0.008190549
0,68760,0.008135838
0,69120,0.00808149
0,69480,0.008027502
0,69840,0.007973872
0,70200,0.007920598
0,70560,0.007867676
0,70920,0.007815106
0,71280,0.007762884
0,71640,0.0077110077
0,72000,0.007659476
0,72360,0.007608285
