"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,5.4052925
0,10,5.285442
0,15,5.192649
0,20,5.118652
0,25,5.058153
0,30,5.0076227
0,35,4.9646387
0,40,4.927497
0,45,4.894963
0,50,4.8661222
0,55,4.8402805
0,60,4.816901
0,65,4.795561
0,70,4.7759223
0,75,4.757713
0,80,4.740711
0,85,4.7247343
0,90,4.7096334
0,95,4.6952825
0,100,4.6815796
0,105,4.6684375
0,110,4.655784
0,115,4.643559
0,120,4.631711
0,125,4.6201973
0,130,4.608982
0,135,4.5980334
0,140,4.5873265
0,145,4.576838
0,150,4.5665503
0,155,4.556446
0,160,4.5465117
0,165,4.536735
0,170,4.527106
0,175,4.517615
0,180,4.5082545
0,185,4.4990177
0,190,4.4898977
0,195,4.48089
0,200,4.471989
0,205,4.4631906
0,210,4.4544907
0,215,4.4458857
0,220,4.4373727
0,225,4.428949
0,230,4.4206104
0,235,4.412356
0,240,4.404183
0,245,4.396088
0,250,4.3880706
0,255,4.3801284
0,260,4.3722587
0,265,4.364461
0,270,4.3567324
0,275,4.3490725
0,280,4.3414793
0,285,4.333951
0,290,4.326487
0,295,4.3190856
0,300,4.311745
0,305,4.3044653
0,310,4.2972445
0,315,4.2900815
0,320,4.282975
0,325,4.275924
0,330,4.2689285
0,335,4.2619863
0,340,4.2550974
0,345,4.24826
0,350,4.2414737
0,355,4.2347374
0,360,4.2280507
0,365,4.221412
0,370,4.2148213
0,375,4.2082777
0,380,4.2017803
0,385,4.1953287
0,390,4.1889215
0,395,4.1825585
0,400,4.176239
0,405,4.1699624
0,410,4.1637278
0,415,4.1575346
0,420,4.151383
0,425,4.1452713
0,430,4.1391997
0,435,4.1331673
0,440,4.1271734
0,445,4.1212177
0,450,4.1153
0,455,4.1094193
0,460,4.1035757
0,465,4.097768
0,470,4.091996
0,475,4.08626
0,480,4.080558
0,485,4.0748906
0,490,4.0692577
0,495,4.063658
0,500,4.0580916
0,505,4.0525584
