"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,1.3299642
0,10,1.2982758
0,15,1.2737565
0,20,1.2538368
0,25,1.237348
0,30,1.2234782
0,35,1.2116481
0,40,1.2014358
0,45,1.1925265
0,50,1.1846815
0,55,1.1777164
0,60,1.1714844
0,65,1.1658684
0,70,1.1607734
0,75,1.1561211
0,80,1.1518466
0,85,1.1478958
0,90,1.1442232
0,95,1.1407906
0,100,1.1375655
0,105,1.1345202
0,110,1.1316311
0,115,1.1288784
0,120,1.1262447
0,125,1.1237153
0,130,1.1212777
0,135,1.1189212
0,140,1.1166363
0,145,1.1144149
0,150,1.1122504
0,155,1.1101367
0,160,1.1080686
0,165,1.1060417
0,170,1.104052
0,175,1.1020962
0,180,1.1001714
0,185,1.0982751
0,190,1.0964048
0,195,1.0945588
0,200,1.0927353
0,205,1.0909326
0,210,1.0891496
0,215,1.0873849
0,220,1.0856377
0,225,1.0839069
0,230,1.0821915
0,235,1.080491
0,240,1.0788045
0,245,1.0771316
0,250,1.0754715
0,255,1.0738239
0,260,1.0721883
0,265,1.070564
0,270,1.068951
0,275,1.0673487
0,280,1.0657568
0,285,1.064175
0,290,1.0626031
0,295,1.0610408
0,300,1.0594877
0,305,1.0579436
0,310,1.0564085
0,315,1.0548819
0,320,1.0533638
0,325,1.051854
0,330,1.0503522
0,335,1.0488583
0,340,1.0473721
0,345,1.0458935
0,350,1.0444224
0,355,1.0429585
0,360,1.0415019
0,365,1.0400522
0,370,1.0386095
0,375,1.0371736
0,380,1.0357443
0,385,1.0343218
0,390,1.0329056
0,395,1.0314958
0,400,1.0300924
0,405,1.0286951
0,410,1.0273039
0,415,1.0259188
0,420,1.0245396
0,425,1.0231663
0,430,1.0217987
0,435,1.0204369
0,440,1.0190806
0,445,1.01773
0,450,1.016385
0,455,1.0150452
0,460,1.0137109
0,465,1.0123819
0,470,1.0110581
0,475,1.0097395
0,480,1.0084261
0,485,1.0071177
0,490,1.0058144
0,495,1.0045161
0,500,1.0032227
0,505,1.0019342
0,510,1.0006504
0,515,0.99937147
0,520,0.9980973
0,525,0.9968278
0,530,0.995563
0,535,0.99430275
0,540,0.99304706
0,545,0.9917959
0,550,0.99054927
0,555,0.9893071
0,560,0.9880693
0,565,0.9868359
0,570,0.98560685
0,575,0.9843821
0,580,0.9831616
0,585,0.98194534
0,590,0.9807333
0,595,0.97952545
0,600,0.9783217
0,605,0.97712207
0,610,0.9759265
0,615,0.974735
0,620,0.9735476
0,625,0.97236407
0,630,0.97118455
0,635,0.97000897
0,640,0.9688373
0,645,0.96766955
0,650,0.9665056
0,655,0.9653455
0,660,0.96418923
0,665,0.9630367
0,670,0.96188796
0,675,0.96074295
0,680,0.95960164
0,685,0.95846397
0,690,0.95733
0,695,0.9561997
0,700,0.955073
0,705,0.95394987
0,710,0.9528303
0,715,0.95171434
0,720,0.9506019
0,1080,0.87866914
0,1440,0.8196581
0,1800,0.77020776
0,2160,0.7280118
0,2520,0.6914061
0,2880,0.6591653
0,3240,0.63037455
0,3600,0.60434073
0,3960,0.5805371
0,4320,0.55855775
0,4680,0.5380843
0,5040,0.51886624
0,5400,0.50070465
0,5760,0.48344022
0,6120,0.46694463
0,6480,0.4511135
0,6840,0.4358615
0,7200,0.42111838
0,7560,0.4068261
0,7920,0.39293635
0,8280,0.37940875
0,8640,0.36620945
0,9000,0.35330996
0,9360,0.34068638
0,9720,0.32831857
0,10080,0.3161897
0,10440,0.30428588
0,10800,0.29259604
0,11160,0.2811118
0,11520,0.2698281
0,11880,0.25874388
0,12240,0.24786387
0,12600,0.23720044
0,12960,0.22677141
0,13320,0.21659166
0,13680,0.20666613
0,14040,0.19699237
0,14400,0.18756518
0,14760,0.17837936
0,15120,0.16943091
0,15480,0.16071762
0,15840,0.15223938
0,16200,0.1439987
0,16560,0.13600112
0,16920,0.12825574
0,17280,0.12077509
0,17640,0.11357406
0,18000,0.10666723
0,18360,0.10006532
0,18720,0.09377259
0,19080,0.08778654
0,19440,0.082099475
0,19800,0.076700546
0,20160,0.07157743
0,20520,0.06671743
0,20880,0.06210808
0,21240,0.057737403
0,21600,0.053594053
0,21960,0.049667347
0,22320,0.045947257
0,22680,0.042424385
0,23040,0.039089944
0,23400,0.035935733
0,23760,0.032954115
0,24120,0.030138
0,24480,0.027480824
0,24840,0.024976535
0,25200,0.022619572
0,25560,0.020404845
0,25920,0.018327698
0,26280,0.016383875
0,26640,0.014569477
0,27000,0.0128809195
0,27360,0.011314893
0,27720,0.009868343
0,28080,0.008538457
0,28440,0.007322658
0,28800,0.006218592
0,29160,0.005224063
0,29520,0.00433691
0,29880,0.003554794
0,30240,0.0028748824
