Species,Metric,Molecule,Dose_mg_kg,Fold_error,Log2_fold_error,Evaluation_status
Monkey,AUC0-tlast,Tocilizumab,10,1.3315,0.4130524285485271,Evaluated
Monkey,Cmax,Tocilizumab,10,1.0648,0.09058247636244234,Evaluated
Monkey,Clearance,Tocilizumab,10,0.237,-2.077041035763828,Evaluated
Monkey,AUC0-tlast,Nivolumab,1,0.5716,-0.8069221784536329,Evaluated
Monkey,Cmax,Nivolumab,1,0.9742,-0.03771011170900127,Evaluated
Monkey,Clearance,Nivolumab,1,NA,NA,Not evaluable
Monkey,AUC0-tlast,Nivolumab,10,0.4223,-1.2436598477481473,Evaluated
Monkey,Cmax,Nivolumab,10,0.7362,-0.44183034516538827,Evaluated
Monkey,Clearance,Nivolumab,10,2.293,1.1972363549187066,Evaluated
Monkey,AUC0-tlast,Pembrolizumab,0.3,0.744,-0.42662547355405567,Evaluated
Monkey,Cmax,Pembrolizumab,0.3,0.3978,-1.3298848187157055,Evaluated
Monkey,Clearance,Pembrolizumab,0.3,NA,NA,Not evaluable
Monkey,AUC0-tlast,Pembrolizumab,3,0.8831,-0.17935128064281183,Evaluated
Monkey,Cmax,Pembrolizumab,3,0.988,-0.017417053077409404,Evaluated
Monkey,Clearance,Pembrolizumab,3,NA,NA,Not evaluable
Monkey,AUC0-tlast,Pembrolizumab,30,0.9248,-0.11278669704877065,Evaluated
Monkey,Cmax,Pembrolizumab,30,1.0477,0.06722567253197158,Evaluated
Monkey,Clearance,Pembrolizumab,30,NA,NA,Not evaluable
Monkey,AUC0-tlast,Atezolizumab,0.5,1.2821,0.3585087922824307,Evaluated
Monkey,Cmax,Atezolizumab,0.5,1.4239,0.5098478298928157,Evaluated
Monkey,Clearance,Atezolizumab,0.5,NA,NA,Not evaluable
Monkey,AUC0-tlast,Atezolizumab,5,0.8982,-0.1548913727698765,Evaluated
Monkey,Cmax,Atezolizumab,5,1.0919,0.12684073527769343,Evaluated
Monkey,Clearance,Atezolizumab,5,0.9799,-0.02929356695061715,Evaluated
Monkey,AUC0-tlast,Atezolizumab,20,0.6979,-0.5189077630936494,Evaluated
Monkey,Cmax,Atezolizumab,20,0.8598,-0.21792698456614754,Evaluated
Monkey,Clearance,Atezolizumab,20,NA,NA,Not evaluable
Monkey,AUC0-tlast,Avelumab,5,2.1495,1.1040011103212148,Evaluated
Monkey,Cmax,Avelumab,5,1.2958,0.37384306291830866,Evaluated
Monkey,Clearance,Avelumab,5,0.388,-1.3658714424749594,Evaluated
