Molecule,Variability_CV,Replicate,Design,N_per_group,Total_animals,Fold_error,Within_2fold,Dose_mg_kg,Endpoint,Study_value,Reference_value
Golimumab,0.3,1,2 dose groups,2,4,0.5345657456016355,TRUE,1,AUC0-28d,1212.681092492739,2268.5349790378127
Golimumab,0.3,1,2 dose groups,2,4,0.7355506409609228,TRUE,1,Cmax,19.085359945893288,25.94703733921051
Golimumab,0.3,1,2 dose groups,2,4,1.4212847061422287,TRUE,1,Terminal clearance,0.08239727680584417,0.05797380106164221
Golimumab,0.3,1,2 dose groups,2,4,1.0185608647889635,TRUE,10,AUC0-28d,22685.63277373627,22272.240725090618
Golimumab,0.3,1,2 dose groups,2,4,1.0530591610103606,TRUE,10,Cmax,273.2046067714691,259.43899154663086
Golimumab,0.3,1,2 dose groups,2,4,1.0504075985735875,TRUE,10,Terminal clearance,0.06201366363000281,0.05903771423037585
Golimumab,0.3,2,2 dose groups,2,4,1.422194329637025,TRUE,1,AUC0-28d,3226.2975837708245,2268.5349790378127
Golimumab,0.3,2,2 dose groups,2,4,1.0253883186366413,TRUE,1,Cmax,26.605788990855217,25.94703733921051
Golimumab,0.3,2,2 dose groups,2,4,0.6891645826899276,TRUE,1,Terminal clearance,0.03995349041559554,0.05797380106164221
Golimumab,0.3,2,2 dose groups,2,4,1.2821493000652877,TRUE,10,AUC0-28d,28556.33785656053,22272.240725090618
Golimumab,0.3,2,2 dose groups,2,4,1.0717293822817475,TRUE,10,Cmax,278.0483901500702,259.43899154663086
Golimumab,0.3,2,2 dose groups,2,4,0.937618691685428,TRUE,10,Terminal clearance,0.05535486437678318,0.05903771423037585
Golimumab,0.3,3,2 dose groups,2,4,0.8749115914517404,TRUE,1,AUC0-28d,1984.7675487739132,2268.5349790378127
Golimumab,0.3,3,2 dose groups,2,4,0.7107126514449574,TRUE,1,Cmax,18.440887704491615,25.94703733921051
Golimumab,0.3,3,2 dose groups,2,4,0.7998546958452262,TRUE,1,Terminal clearance,0.04637061701515148,0.05797380106164221
Golimumab,0.3,3,2 dose groups,2,4,0.6283612035970635,TRUE,10,AUC0-28d,13995.011988821476,22272.240725090618
Golimumab,0.3,3,2 dose groups,2,4,0.7410879750883597,TRUE,10,Cmax,192.26711690425873,259.43899154663086
Golimumab,0.3,3,2 dose groups,2,4,1.2280204401909196,TRUE,10,Terminal clearance,0.07249951981705187,0.05903771423037585
Golimumab,0.3,4,2 dose groups,2,4,0.8206655755919091,TRUE,1,AUC0-28d,1861.7085643224461,2268.5349790378127
Golimumab,0.3,4,2 dose groups,2,4,1.078088415841209,TRUE,1,Cmax,27.973200380802155,25.94703733921051
Golimumab,0.3,4,2 dose groups,2,4,1.3380140722791665,TRUE,1,Terminal clearance,0.07756976164399015,0.05797380106164221
Golimumab,0.3,4,2 dose groups,2,4,1.1544844949750364,TRUE,10,AUC0-28d,25712.95658546868,22272.240725090618
Golimumab,0.3,4,2 dose groups,2,4,0.9235498191452407,TRUE,10,Cmax,239.60483372211456,259.43899154663086
Golimumab,0.3,4,2 dose groups,2,4,0.7944539314107464,TRUE,10,Terminal clearance,0.04690274417182626,0.05903771423037585
Golimumab,0.3,5,2 dose groups,2,4,1.4495405264159378,TRUE,1,AUC0-28d,3288.333387707439,2268.5349790378127
Golimumab,0.3,5,2 dose groups,2,4,1.1215308203259196,TRUE,1,Cmax,29.10040207207203,25.94703733921051
Golimumab,0.3,5,2 dose groups,2,4,0.7656005393928871,TRUE,1,Terminal clearance,0.044384773363449204,0.05797380106164221
Golimumab,0.3,5,2 dose groups,2,4,0.73240489358759,TRUE,10,AUC0-28d,16312.298098217181,22272.240725090618
Golimumab,0.3,5,2 dose groups,2,4,0.8976974101377915,TRUE,10,Cmax,232.8977108001709,259.43899154663086
Golimumab,0.3,5,2 dose groups,2,4,1.23684291444987,TRUE,10,Terminal clearance,0.07302037853115663,0.05903771423037585
Golimumab,0.3,6,2 dose groups,2,4,0.9871743544728023,TRUE,1,AUC0-28d,2239.439553530625,2268.5349790378127
Golimumab,0.3,6,2 dose groups,2,4,1.0483384686473058,TRUE,1,Cmax,27.201277390122414,25.94703733921051
Golimumab,0.3,6,2 dose groups,2,4,1.0653816714183373,TRUE,1,Terminal clearance,0.06176422507352655,0.05797380106164221
Golimumab,0.3,6,2 dose groups,2,4,0.9596772601022074,TRUE,10,AUC0-28d,21374.162955391766,22272.240725090618
Golimumab,0.3,6,2 dose groups,2,4,0.9745072328119055,TRUE,10,Cmax,252.8251737356186,259.43899154663086
Golimumab,0.3,6,2 dose groups,2,4,1.009767941717788,TRUE,10,Terminal clearance,0.05961439118212959,0.05903771423037585
Golimumab,0.3,7,2 dose groups,2,4,1.0353682872303547,TRUE,1,AUC0-28d,2348.769175768529,2268.5349790378127
Golimumab,0.3,7,2 dose groups,2,4,0.8784232220023451,TRUE,1,Cmax,22.792480140924454,25.94703733921051
Golimumab,0.3,7,2 dose groups,2,4,0.8178556017143371,TRUE,1,Terminal clearance,0.04741419795093667,0.05797380106164221
Golimumab,0.3,7,2 dose groups,2,4,0.870478201920857,TRUE,10,AUC0-28d,19387.500059125367,22272.240725090618
Golimumab,0.3,7,2 dose groups,2,4,1.0114145612893621,TRUE,10,Cmax,262.4003738164902,259.43899154663086
Golimumab,0.3,7,2 dose groups,2,4,1.2009831392921273,TRUE,10,Terminal clearance,0.07090329937302828,0.05903771423037585
Golimumab,0.3,8,2 dose groups,2,4,0.8107331994285335,TRUE,1,AUC0-28d,1839.1766215708672,2268.5349790378127
Golimumab,0.3,8,2 dose groups,2,4,0.6354343943252656,TRUE,1,Cmax,16.48763995617628,25.94703733921051
Golimumab,0.3,8,2 dose groups,2,4,0.7653517287725113,TRUE,1,Terminal clearance,0.04437034886604152,0.05797380106164221
Golimumab,0.3,8,2 dose groups,2,4,1.3656232529967824,TRUE,10,AUC0-28d,30415.489830525665,22272.240725090618
Golimumab,0.3,8,2 dose groups,2,4,1.0500873947541092,TRUE,10,Cmax,272.43361473083496,259.43899154663086
Golimumab,0.3,8,2 dose groups,2,4,0.7530743951046963,TRUE,10,Terminal clearance,0.044459790932404215,0.05903771423037585
Golimumab,0.3,9,2 dose groups,2,4,0.997429430823378,TRUE,1,AUC0-28d,2262.7035529446093,2268.5349790378127
Golimumab,0.3,9,2 dose groups,2,4,1.1339943513843467,TRUE,1,Cmax,29.423793777823448,25.94703733921051
Golimumab,0.3,9,2 dose groups,2,4,1.1462188558770339,TRUE,1,Terminal clearance,0.0664506639237183,0.05797380106164221
Golimumab,0.3,9,2 dose groups,2,4,0.8025458658874344,TRUE,10,AUC0-28d,17874.49471797123,22272.240725090618
Golimumab,0.3,9,2 dose groups,2,4,0.8570416875734034,TRUE,10,Cmax,222.35003113746643,259.43899154663086
Golimumab,0.3,9,2 dose groups,2,4,1.0399458978957123,TRUE,10,Terminal clearance,0.06139602873501868,0.05903771423037585
Golimumab,0.3,10,2 dose groups,2,4,0.9001303212146555,TRUE,1,AUC0-28d,2041.9771193679883,2268.5349790378127
