Molecule,Variability_CV,Design,N_per_group,Total_animals,Dose_mg_kg,Endpoint,Fraction_within_2fold,Median_fold_error,Fold_error_5th_percentile,Fold_error_95th_percentile
Golimumab,0.3,2 dose groups,2,4,1,AUC0-28d,0.996,0.910218852159296,0.6194416554199382,1.2831055647790897
Golimumab,0.3,2 dose groups,2,4,1,Cmax,1,0.8887209816283023,0.67038003936423185,1.1331613373570486
Golimumab,0.3,2 dose groups,2,4,1,Terminal clearance,1,1.0035309926864693,0.7406716412753163,1.3174950088728776
Golimumab,0.3,2 dose groups,2,4,10,AUC0-28d,0.995,0.9014564675496759,0.6211778258618265,1.2766289375658295
Golimumab,0.3,2 dose groups,2,4,10,Cmax,1,0.8975387831452186,0.6672471806921003,1.13606610572284
Golimumab,0.3,2 dose groups,2,4,10,Terminal clearance,1,1.0148002588386298,0.7557626809078205,1.3199523353073732
Golimumab,0.3,2 dose groups,3,6,1,AUC0-28d,0.997,0.9221679277183441,0.6773305480670918,1.2042397779944325
Golimumab,0.3,2 dose groups,3,6,1,Cmax,1,0.8995537367937378,0.6950712356833453,1.0815453588006312
Golimumab,0.3,2 dose groups,3,6,1,Terminal clearance,1,1.00225841476453,0.8065043198166487,1.266795613636978
Golimumab,0.3,2 dose groups,3,6,10,AUC0-28d,1,0.9245380746992391,0.6695466641416941,1.2284452261105123
Golimumab,0.3,2 dose groups,3,6,10,Cmax,1,0.8942889343170068,0.7029990139372118,1.084489024422744
Golimumab,0.3,2 dose groups,3,6,10,Terminal clearance,1,1.0002234375034036,0.7930961822988497,1.2692544295490351
Golimumab,0.3,2 dose groups,6,12,1,AUC0-28d,1,0.9113104822032775,0.735851939441483,1.1206259657121866
Golimumab,0.3,2 dose groups,6,12,1,Cmax,1,0.891957619934161,0.7607646549697284,1.0272050055872815
Golimumab,0.3,2 dose groups,6,12,1,Terminal clearance,1,1.0121933536952858,0.8640235609410465,1.19430352660697
Golimumab,0.3,2 dose groups,6,12,10,AUC0-28d,1,0.9148448585860397,0.7507433324371178,1.122630697310571
Golimumab,0.3,2 dose groups,6,12,10,Cmax,1,0.89324648651952,0.7630811929200141,1.0312903752736253
Golimumab,0.3,2 dose groups,6,12,10,Terminal clearance,1,1.012006930118532,0.8592613940591034,1.1861976268184944
Golimumab,0.3,3 dose groups,2,6,1,AUC0-28d,0.992,0.9106675473483122,0.6076186368720616,1.3017373929490348
Golimumab,0.3,3 dose groups,2,6,1,Cmax,1,0.9032082654377289,0.6645866419698381,1.1307507045694414
Golimumab,0.3,3 dose groups,2,6,1,Terminal clearance,1,0.9979473220751662,0.7544630006943216,1.3380548905913454
Golimumab,0.3,3 dose groups,2,6,3,AUC0-28d,0.996,0.8940495165358194,0.6097805256842916,1.2950184780606129
Golimumab,0.3,3 dose groups,2,6,3,Cmax,1,0.8930731843469542,0.6729895324175456,1.1350304697877884
Golimumab,0.3,3 dose groups,2,6,3,Terminal clearance,1,1.0041672032092166,0.7616517535049544,1.3158893513859782
Golimumab,0.3,3 dose groups,2,6,10,AUC0-28d,0.996,0.9193959725370543,0.6182368199449995,1.2862872742001012
Golimumab,0.3,3 dose groups,2,6,10,Cmax,1,0.8965477865968978,0.664708931702516,1.1345256456735462
Golimumab,0.3,3 dose groups,2,6,10,Terminal clearance,1,0.9993144636871492,0.7392719795973102,1.3105629354452974
Golimumab,0.3,3 dose groups,3,9,1,AUC0-28d,0.999,0.9104806642580285,0.6750645172894935,1.2169529599457163
Golimumab,0.3,3 dose groups,3,9,1,Cmax,1,0.8880830479392069,0.7195086777445187,1.086827832080861
Golimumab,0.3,3 dose groups,3,9,1,Terminal clearance,1,1.0140851615052617,0.8008656147578873,1.2622678627142663
Golimumab,0.3,3 dose groups,3,9,3,AUC0-28d,1,0.9083967411345406,0.6669629272846591,1.187680503370994
Golimumab,0.3,3 dose groups,3,9,3,Cmax,1,0.8914498231999968,0.6993585541586527,1.073675158158998
Golimumab,0.3,3 dose groups,3,9,3,Terminal clearance,1,1.0134983180976496,0.8054296638306995,1.2648833788287515
Golimumab,0.3,3 dose groups,3,9,10,AUC0-28d,0.999,0.9258298619665204,0.6928503530947279,1.2373777828444417
Golimumab,0.3,3 dose groups,3,9,10,Cmax,1,0.8915190214544472,0.7216620643127979,1.0904002376475648
Golimumab,0.3,3 dose groups,3,9,10,Terminal clearance,1,0.9953931697610043,0.7963375663204459,1.2470465347824247
