Molecule,Variability_CV,Design,N_per_group,Total_animals,Fraction_within_2fold
Golimumab,0.3,2 dose groups,2,4,0.991
Golimumab,0.3,2 dose groups,3,6,0.997
Golimumab,0.3,2 dose groups,6,12,1
Golimumab,0.3,3 dose groups,2,6,0.984
Golimumab,0.3,3 dose groups,3,9,0.998
Golimumab,0.3,3 dose groups,6,18,1
Golimumab,0.3,5 dose groups,2,10,0.97
Golimumab,0.3,5 dose groups,3,15,0.997
Golimumab,0.3,5 dose groups,6,30,1
Golimumab,0.5,2 dose groups,2,4,0.946
Golimumab,0.5,2 dose groups,3,6,0.976
Golimumab,0.5,2 dose groups,6,12,1
Golimumab,0.5,3 dose groups,2,6,0.899
Golimumab,0.5,3 dose groups,3,9,0.971
Golimumab,0.5,3 dose groups,6,18,0.998
Golimumab,0.5,5 dose groups,2,10,0.798
Golimumab,0.5,5 dose groups,3,15,0.947
Golimumab,0.5,5 dose groups,6,30,1
