Molecule,Variability_CV,VirtualProfileId,ParameterSetId,PopulationIndividualId,Dose_mg_kg,AUC0_28d_ug_h_mL,Cmax_ug_mL,Lambda_z_1_h,AUCinf_ug_h_mL,Terminal_CL_L_day,Profile_type
Golimumab,0.3,1,1,0,0.1,330.57581273180574,2.7020031586289406,0.00425022885138292,349.06143758495296,0.03989428619120619,Sparse reduced-study candidate
Golimumab,0.3,1,1,0,1,3304.85383415847,27.01990082859993,0.004226082602264665,3492.588548241804,0.0398717360976809,Sparse reduced-study candidate
Golimumab,0.3,1,1,0,3,9878.814329736137,81.05813562870026,0.004223277319757295,10440.968709013252,0.04001225540683773,Sparse reduced-study candidate
Golimumab,0.3,1,1,0,10,32502.2976206557,270.1732635498047,0.004220356258022588,34355.76262078553,0.040533394770002534,Sparse reduced-study candidate
Golimumab,0.3,1,1,0,30,93937.43725200214,810.2856874465942,0.00421167886806631,99325.47060251312,0.042060380297787255,Sparse reduced-study candidate
Golimumab,0.3,2,1,1,0.1,321.63753469882283,2.6290420442819595,0.004250908262406533,339.6152087993928,0.039896716051299144,Sparse reduced-study candidate
Golimumab,0.3,2,1,1,1,3215.761400900882,26.290301978588104,0.004226178633250929,3398.4244266666456,0.03987003932131615,Sparse reduced-study candidate
Golimumab,0.3,2,1,1,3,9613.49712368094,78.86942625045776,0.004223335240365679,10160.533253098232,0.040006359552163494,Sparse reduced-study candidate
Golimumab,0.3,2,1,1,10,31640.662587421906,262.87872791290283,0.004220482634901494,33444.84919793783,0.0405130591918097,Sparse reduced-study candidate
Golimumab,0.3,2,1,1,30,91536.98928011638,788.4168863296509,0.004212013872508566,96786.10024688205,0.041998380503842664,Sparse reduced-study candidate
Golimumab,0.3,3,1,2,0.1,358.98187999007143,2.9338790103793144,0.004248284989305465,379.0819326654348,0.03988740052747922,Sparse reduced-study candidate
Golimumab,0.3,3,1,2,1,3587.936812375898,29.338616877794266,0.004225804505815987,3791.7869311030836,0.03987722188957045,Sparse reduced-study candidate
Golimumab,0.3,3,1,2,3,10721.477847833434,88.01399767398834,0.0042231028691006,11331.652832457661,0.04003103458388695,Sparse reduced-study candidate
Golimumab,0.3,3,1,2,10,35234.777768415384,293.35548877716064,0.004219957419544067,37244.56894668437,0.0405981148623367,Sparse reduced-study candidate
Golimumab,0.3,3,1,2,30,101519.6969216105,879.7815084457397,0.004210620774694697,107346.99965887054,0.04225714625189608,Sparse reduced-study candidate
Golimumab,0.3,4,1,3,0.1,281.5804976065383,2.302072662860155,0.004254451286288627,297.28216587395065,0.03990957539092041,Sparse reduced-study candidate
Golimumab,0.3,4,1,3,1,2816.39105502319,23.020657896995544,0.004226677966379345,2976.3201658939715,0.03986266379295565,Sparse reduced-study candidate
Golimumab,0.3,4,1,3,3,8423.511666477374,69.06084716320038,0.0042236176331925356,8902.747599131215,0.03998003384645098,Sparse reduced-study candidate
Golimumab,0.3,4,1,3,10,27768.450677040208,230.188250541687,0.0042210570241912795,29351.272045469166,0.040422115242374976,Sparse reduced-study candidate
Golimumab,0.3,4,1,3,30,80691.80610440951,690.404462814331,0.004213528744883017,85314.12219958621,0.04172019135436905,Sparse reduced-study candidate
Golimumab,0.3,5,1,4,0.1,218.41225523790484,1.786474697291851,0.004266626734503178,230.5147766702509,0.03994160264472064,Sparse reduced-study candidate
Golimumab,0.3,5,1,4,1,2186.2591950495266,17.864741384983063,0.004228333868167234,2310.3057545079373,0.03985242903686863,Sparse reduced-study candidate
Golimumab,0.3,5,1,4,3,6543.740751944158,53.59356254339218,0.004224176555215105,6915.900217817727,0.03993896379438339,Sparse reduced-study candidate
Golimumab,0.3,5,1,4,10,21626.16833065155,178.63669395446777,0.004221428958554128,22858.325589178938,0.04027910783569514,Sparse reduced-study candidate
Golimumab,0.3,5,1,4,30,63290.49449876412,535.8209252357483,0.004215967041265508,66909.98047587227,0.04128141817416807,Sparse reduced-study candidate
