IndividualId,Gender,Population,Organism|Weight,Organism|Ontogeny factor (albumin),Organism|Ontogeny factor (alpha1-acid glycoprotein)
0,UNKNOWN,Monkey,5.80231537055332,1,1
1,UNKNOWN,Monkey,5.645638146738351,1,1
2,UNKNOWN,Monkey,6.300247033732127,1,1
3,UNKNOWN,Monkey,4.943502088051058,1,1
4,UNKNOWN,Monkey,3.836304005624867,1,1
5,UNKNOWN,Monkey,3.937432529841285,1,1
6,UNKNOWN,Monkey,4.453095805576582,1,1
7,UNKNOWN,Monkey,4.964697302302671,1,1
8,UNKNOWN,Monkey,3.094345459758465,1,1
9,UNKNOWN,Monkey,4.5767794910710204,1,1
10,UNKNOWN,Monkey,6.373423207259467,1,1
11,UNKNOWN,Monkey,5.412919010227973,1,1
12,UNKNOWN,Monkey,6.4101888851310065,1,1
13,UNKNOWN,Monkey,4.3571936792494705,1,1
14,UNKNOWN,Monkey,4.023366939753,1,1
15,UNKNOWN,Monkey,4.2959051790162475,1,1
16,UNKNOWN,Monkey,6.73380293684723,1,1
17,UNKNOWN,Monkey,3.5633907488376786,1,1
18,UNKNOWN,Monkey,5.3290953330365465,1,1
19,UNKNOWN,Monkey,3.293491723152572,1,1
20,UNKNOWN,Monkey,3.1172473040024036,1,1
21,UNKNOWN,Monkey,6.219449523472904,1,1
22,UNKNOWN,Monkey,6.269255285742347,1,1
23,UNKNOWN,Monkey,5.386554110043941,1,1
24,UNKNOWN,Monkey,5.088779761497294,1,1
25,UNKNOWN,Monkey,4.613898054516829,1,1
26,UNKNOWN,Monkey,3.897526057855006,1,1
27,UNKNOWN,Monkey,4.483172927742439,1,1
28,UNKNOWN,Monkey,5.742117436016966,1,1
29,UNKNOWN,Monkey,5.0572699336601765,1,1
30,UNKNOWN,Monkey,5.028069273581761,1,1
31,UNKNOWN,Monkey,5.960978870727577,1,1
32,UNKNOWN,Monkey,4.636811110021924,1,1
33,UNKNOWN,Monkey,6.442742468529726,1,1
34,UNKNOWN,Monkey,4.805577891788249,1,1
35,UNKNOWN,Monkey,6.229859456061321,1,1
36,UNKNOWN,Monkey,3.905497357670915,1,1
37,UNKNOWN,Monkey,5.920436854902858,1,1
38,UNKNOWN,Monkey,4.59635845459828,1,1
39,UNKNOWN,Monkey,3.563313428574853,1,1
40,UNKNOWN,Monkey,6.500568756601104,1,1
41,UNKNOWN,Monkey,6.943693401265748,1,1
42,UNKNOWN,Monkey,3.1443358753548636,1,1
43,UNKNOWN,Monkey,6.703953673925228,1,1
44,UNKNOWN,Monkey,4.372320824010446,1,1
45,UNKNOWN,Monkey,3.8454700358423737,1,1
46,UNKNOWN,Monkey,3.9426268641569773,1,1
47,UNKNOWN,Monkey,6.535082317672242,1,1
48,UNKNOWN,Monkey,4.905895364426961,1,1
49,UNKNOWN,Monkey,3.5711118693328983,1,1
