Molecule,Variability_CV,ParameterSetId,Parameter,Typical_value_internal,Display_unit,Parameter_value_internal
Golimumab,0.3,1,Kd (FcRn),1.07,µmol/l,0.680300225819619
Golimumab,0.3,1,Target Kd,1.8e-5,µmol/l,1.6122332407586133e-5
Golimumab,0.3,1,koff,0.005583,1/min,0.003847673237255832
Golimumab,0.3,1,kint,0.014433333333333333,1/min,0.009767349962098142
Golimumab,0.3,1,kdeg,0.0037166666666666667,1/min,0.0026132206345363916
Golimumab,0.3,1,Target reference concentration,1e-6,µmol/l,9.82885702620655e-7
Golimumab,0.3,2,Kd (FcRn),1.07,µmol/l,1.0375248791390184
Golimumab,0.3,2,Target Kd,1.8e-5,µmol/l,1.3631712160824512e-5
Golimumab,0.3,2,koff,0.005583,1/min,0.005363137956013082
Golimumab,0.3,2,kint,0.014433333333333333,1/min,0.013202964100892847
Golimumab,0.3,2,kdeg,0.0037166666666666667,1/min,0.005928684256211374
Golimumab,0.3,2,Target reference concentration,1e-6,µmol/l,1.0839150938318722e-6
Golimumab,0.3,3,Kd (FcRn),1.07,µmol/l,1.0159679915186917
Golimumab,0.3,3,Target Kd,1.8e-5,µmol/l,1.7792388735370528e-5
Golimumab,0.3,3,koff,0.005583,1/min,0.006300260672467426
Golimumab,0.3,3,kint,0.014433333333333333,1/min,0.013814789511270865
Golimumab,0.3,3,kdeg,0.0037166666666666667,1/min,0.0037149068393833814
Golimumab,0.3,3,Target reference concentration,1e-6,µmol/l,9.021604863046478e-7
Golimumab,0.3,4,Kd (FcRn),1.07,µmol/l,1.8561479370680496
Golimumab,0.3,4,Target Kd,1.8e-5,µmol/l,2.8271034935064425e-5
Golimumab,0.3,4,koff,0.005583,1/min,0.006425883348741982
Golimumab,0.3,4,kint,0.014433333333333333,1/min,0.011023376297025211
Golimumab,0.3,4,kdeg,0.0037166666666666667,1/min,0.003628297365926151
Golimumab,0.3,4,Target reference concentration,1e-6,µmol/l,1.4488108147795783e-6
Golimumab,0.3,5,Kd (FcRn),1.07,µmol/l,0.8433229131372587
Golimumab,0.3,5,Target Kd,1.8e-5,µmol/l,2.00268456295995e-5
Golimumab,0.3,5,koff,0.005583,1/min,0.0038988393760613763
Golimumab,0.3,5,kint,0.014433333333333333,1/min,0.01512382794198282
Golimumab,0.3,5,kdeg,0.0037166666666666667,1/min,0.0027694545505727495
Golimumab,0.3,5,Target reference concentration,1e-6,µmol/l,9.628929876712874e-7
Golimumab,0.3,6,Kd (FcRn),1.07,µmol/l,1.528072625651275
Golimumab,0.3,6,Target Kd,1.8e-5,µmol/l,1.1668199938565149e-5
Golimumab,0.3,6,koff,0.005583,1/min,0.003622339308183805
Golimumab,0.3,6,kint,0.014433333333333333,1/min,0.014597161160499639
Golimumab,0.3,6,kdeg,0.0037166666666666667,1/min,0.002966547297356092
Golimumab,0.3,6,Target reference concentration,1e-6,µmol/l,1.0985466077667026e-6
Golimumab,0.3,7,Kd (FcRn),1.07,µmol/l,1.5080469630387239
Golimumab,0.3,7,Target Kd,1.8e-5,µmol/l,2.122894923073854e-5
Golimumab,0.3,7,koff,0.005583,1/min,0.004699428675578233
Golimumab,0.3,7,kint,0.014433333333333333,1/min,0.009517038964931218
Golimumab,0.3,7,kdeg,0.0037166666666666667,1/min,0.002542785823356613
Golimumab,0.3,7,Target reference concentration,1e-6,µmol/l,1.1953553104483226e-6
Golimumab,0.3,8,Kd (FcRn),1.07,µmol/l,0.6754259550999366
Golimumab,0.3,8,Target Kd,1.8e-5,µmol/l,1.3052120857276247e-5
Golimumab,0.3,8,koff,0.005583,1/min,0.00567877866117114
Golimumab,0.3,8,kint,0.014433333333333333,1/min,0.015506662277170947
Golimumab,0.3,8,kdeg,0.0037166666666666667,1/min,0.0026900782454536173
Golimumab,0.3,8,Target reference concentration,1e-6,µmol/l,1.0710721622147275e-6
Golimumab,0.3,9,Kd (FcRn),1.07,µmol/l,0.7719763173664247
Golimumab,0.3,9,Target Kd,1.8e-5,µmol/l,1.4258938059476294e-5
Golimumab,0.3,9,koff,0.005583,1/min,0.0045795689518398535
Golimumab,0.3,9,kint,0.014433333333333333,1/min,0.01400517962749696
Golimumab,0.3,9,kdeg,0.0037166666666666667,1/min,0.00903746312200927
Golimumab,0.3,9,Target reference concentration,1e-6,µmol/l,7.12593248510469e-7
Golimumab,0.3,10,Kd (FcRn),1.07,µmol/l,1.3720537808068858
Golimumab,0.3,10,Target Kd,1.8e-5,µmol/l,1.918138451371399e-5
Golimumab,0.3,10,koff,0.005583,1/min,0.0065133317495614665
Golimumab,0.3,10,kint,0.014433333333333333,1/min,0.014652847136603728
Golimumab,0.3,10,kdeg,0.0037166666666666667,1/min,0.003077102996317186
Golimumab,0.3,10,Target reference concentration,1e-6,µmol/l,8.540656116997606e-7
Golimumab,0.3,11,Kd (FcRn),1.07,µmol/l,0.8700475572568437
Golimumab,0.3,11,Target Kd,1.8e-5,µmol/l,1.3556422364918966e-5
