"Study.Id","Subject.Id","Organ","Compartment","Species","Gender","Dose","Molecule","Molecular.Weight","Time","Time.unit","Measurement","Measurement.unit","Error","LLOQ","Route","Group.Id","Population","Weight..kg.","Height..cm.","Age..year.s.."
"Tajiri 2024 Fig 1",67,"Venous Blood","Plasma","NHP",".",3,"Adalimumab",148000,1.92,"hr",52.98,"ug/mL",".",".","IV",".",".",0.35,".","."
"Tajiri 2024 Fig 1",67,"Venous Blood","Plasma","NHP",".",3,"Adalimumab",148000,3.12,"hr",44.49,"ug/mL",".",".","IV",".",".",0.35,".","."
"Tajiri 2024 Fig 1",67,"Venous Blood","Plasma","NHP",".",3,"Adalimumab",148000,8.64,"hr",38.57,"ug/mL",".",".","IV",".",".",0.35,".","."
"Tajiri 2024 Fig 1",67,"Venous Blood","Plasma","NHP",".",3,"Adalimumab",148000,25.44,"hr",25.94,"ug/mL",".",".","IV",".",".",0.35,".","."
"Tajiri 2024 Fig 1",67,"Venous Blood","Plasma","NHP",".",3,"Adalimumab",148000,48.96,"hr",20.78,"ug/mL",".",".","IV",".",".",0.35,".","."
"Tajiri 2024 Fig 1",67,"Venous Blood","Plasma","NHP",".",3,"Adalimumab",148000,97.44,"hr",15.14,"ug/mL",".",".","IV",".",".",0.35,".","."
"Tajiri 2024 Fig 1",67,"Venous Blood","Plasma","NHP",".",3,"Adalimumab",148000,169.68,"hr",10.69,"ug/mL",".",".","IV",".",".",0.35,".","."
"Tajiri 2024 Fig 1",67,"Venous Blood","Plasma","NHP",".",3,"Adalimumab",148000,264.24,"hr",6.97,"ug/mL",".",".","IV",".",".",0.35,".","."
"Schlereth 2016 Fig 2B",70,"Venous Blood","Plasma","NHP",".",3,"Adalimumab",148000,0.53,"hr",75.91,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Schlereth 2016 Fig 2B",70,"Venous Blood","Plasma","NHP",".",3,"Adalimumab",148000,5.51,"hr",79.29,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Schlereth 2016 Fig 2B",70,"Venous Blood","Plasma","NHP",".",3,"Adalimumab",148000,12.08,"hr",59.76,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Schlereth 2016 Fig 2B",70,"Venous Blood","Plasma","NHP",".",3,"Adalimumab",148000,24.42,"hr",38.25,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Schlereth 2016 Fig 2B",70,"Venous Blood","Plasma","NHP",".",3,"Adalimumab",148000,48.06,"hr",30.11,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Schlereth 2016 Fig 2B",70,"Venous Blood","Plasma","NHP",".",3,"Adalimumab",148000,71.95,"hr",32.49,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Schlereth 2016 Fig 2B",70,"Venous Blood","Plasma","NHP",".",3,"Adalimumab",148000,120.54,"hr",29.15,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Schlereth 2016 Fig 2B",70,"Venous Blood","Plasma","NHP",".",3,"Adalimumab",148000,168.07,"hr",22.94,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Schlereth 2016 Fig 2B",70,"Venous Blood","Plasma","NHP",".",3,"Adalimumab",148000,240.02,"hr",16.2,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",1,"Venous Blood","Plasma","NHP",".",0.5,"Atezolizumab",144000,0.55,"hr",9.11,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",1,"Venous Blood","Plasma","NHP",".",0.5,"Atezolizumab",144000,8.87,"hr",6.16,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",1,"Venous Blood","Plasma","NHP",".",0.5,"Atezolizumab",144000,27.61,"hr",4.95,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",1,"Venous Blood","Plasma","NHP",".",0.5,"Atezolizumab",144000,73.3,"hr",4.35,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",1,"Venous Blood","Plasma","NHP",".",0.5,"Atezolizumab",144000,124.21,"hr",3.12,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",1,"Venous Blood","Plasma","NHP",".",0.5,"Atezolizumab",144000,164.91,"hr",2.48,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",2,"Venous Blood","Plasma","NHP",".",5,"Atezolizumab",144000,0.74,"hr",118.8,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",2,"Venous Blood","Plasma","NHP",".",5,"Atezolizumab",144000,8.56,"hr",94.22,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",2,"Venous Blood","Plasma","NHP",".",5,"Atezolizumab",144000,22.29,"hr",69.5,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",2,"Venous Blood","Plasma","NHP",".",5,"Atezolizumab",144000,49.43,"hr",59.29,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",2,"Venous Blood","Plasma","NHP",".",5,"Atezolizumab",144000,101.94,"hr",47.77,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",2,"Venous Blood","Plasma","NHP",".",5,"Atezolizumab",144000,144.31,"hr",39.04,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",2,"Venous Blood","Plasma","NHP",".",5,"Atezolizumab",144000,193.38,"hr",34.31,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",2,"Venous Blood","Plasma","NHP",".",5,"Atezolizumab",144000,242.42,"hr",31.5,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",2,"Venous Blood","Plasma","NHP",".",5,"Atezolizumab",144000,291.5,"hr",27.29,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",2,"Venous Blood","Plasma","NHP",".",5,"Atezolizumab",144000,332.73,"hr",10.48,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",3,"Venous Blood","Plasma","NHP",".",20,"Atezolizumab",144000,0.62,"hr",603.49,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",3,"Venous Blood","Plasma","NHP",".",20,"Atezolizumab",144000,10.86,"hr",408.05,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",3,"Venous Blood","Plasma","NHP",".",20,"Atezolizumab",144000,24.58,"hr",309.85,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",3,"Venous Blood","Plasma","NHP",".",20,"Atezolizumab",144000,70.26,"hr",276.28,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",3,"Venous Blood","Plasma","NHP",".",20,"Atezolizumab",144000,117.68,"hr",229.12,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",3,"Venous Blood","Plasma","NHP",".",20,"Atezolizumab",144000,170.16,"hr",192.81,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",3,"Venous Blood","Plasma","NHP",".",20,"Atezolizumab",144000,324.24,"hr",111.61,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",14,"Venous Blood","Plasma","NHP",".",5,"Avelumab",147000,1.85,"hr",102.19,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",14,"Venous Blood","Plasma","NHP",".",5,"Avelumab",147000,7.34,"hr",77.91,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",14,"Venous Blood","Plasma","NHP",".",5,"Avelumab",147000,23.83,"hr",37.15,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",14,"Venous Blood","Plasma","NHP",".",5,"Avelumab",147000,48.8,"hr",26.62,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",14,"Venous Blood","Plasma","NHP",".",5,"Avelumab",147000,73.77,"hr",17.37,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",14,"Venous Blood","Plasma","NHP",".",5,"Avelumab",147000,95.25,"hr",12.45,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",14,"Venous Blood","Plasma","NHP",".",5,"Avelumab",147000,120.24,"hr",9.7,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",14,"Venous Blood","Plasma","NHP",".",5,"Avelumab",147000,144.93,"hr",7.25,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",14,"Venous Blood","Plasma","NHP",".",5,"Avelumab",147000,169.04,"hr",5.65,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",14,"Venous Blood","Plasma","NHP",".",5,"Avelumab",147000,198.09,"hr",3.84,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Chen 2024 Supp Fig 1",14,"Venous Blood","Plasma","NHP",".",5,"Avelumab",147000,240.5,"hr",2.51,"ug/mL",".",".","IV Bolus",".",".",5,"45","."
"Pasquiers 2023 Fig 3a",38,"Venous Blood","Plasma","NHP",".",4,"Bevacizumab",150000,3,"hr",94.91,"ug/mL",".",".","IV",".",".",5,"45","."
"Pasquiers 2023 Fig 3a",38,"Venous Blood","Plasma","NHP",".",4,"Bevacizumab",150000,5.02,"hr",78.64,"ug/mL",".",".","IV",".",".",5,"45","."
"Pasquiers 2023 Fig 3a",38,"Venous Blood","Plasma","NHP",".",4,"Bevacizumab",150000,12.55,"hr",67.42,"ug/mL",".",".","IV",".",".",5,"45","."
"Pasquiers 2023 Fig 3a",38,"Venous Blood","Plasma","NHP",".",4,"Bevacizumab",150000,22.58,"hr",60.84,"ug/mL",".",".","IV",".",".",5,"45","."
"Pasquiers 2023 Fig 3a",38,"Venous Blood","Plasma","NHP",".",4,"Bevacizumab",150000,35.13,"hr",53.97,"ug/mL",".",".","IV",".",".",5,"45","."
"Pasquiers 2023 Fig 3a",38,"Venous Blood","Plasma","NHP",".",4,"Bevacizumab",150000,47.68,"hr",48.7,"ug/mL",".",".","IV",".",".",5,"45","."
"Pasquiers 2023 Fig 3a",38,"Venous Blood","Plasma","NHP",".",4,"Bevacizumab",150000,65.24,"hr",44.71,"ug/mL",".",".","IV",".",".",5,"45","."
"Pasquiers 2023 Fig 3a",38,"Venous Blood","Plasma","NHP",".",4,"Bevacizumab",150000,72.77,"hr",41.75,"ug/mL",".",".","IV",".",".",5,"45","."
"Pasquiers 2023 Fig 3a",38,"Venous Blood","Plasma","NHP",".",4,"Bevacizumab",150000,85.32,"hr",40.34,"ug/mL",".",".","IV",".",".",5,"45","."
"Pasquiers 2023 Fig 3a",38,"Venous Blood","Plasma","NHP",".",4,"Bevacizumab",150000,97.87,"hr",37.67,"ug/mL",".",".","IV",".",".",5,"45","."
"Pasquiers 2023 Fig 3a",38,"Venous Blood","Plasma","NHP",".",4,"Bevacizumab",150000,107.9,"hr",35.18,"ug/mL",".",".","IV",".",".",5,"45","."
"Pasquiers 2023 Fig 3a",38,"Venous Blood","Plasma","NHP",".",4,"Bevacizumab",150000,115.43,"hr",33.99,"ug/mL",".",".","IV",".",".",5,"45","."
"Pasquiers 2023 Fig 3a",38,"Venous Blood","Plasma","NHP",".",4,"Bevacizumab",150000,130.49,"hr",31.2,"ug/mL",".",".","IV",".",".",5,"45","."
"Pasquiers 2023 Fig 3a",38,"Venous Blood","Plasma","NHP",".",4,"Bevacizumab",150000,150.56,"hr",29.64,"ug/mL",".",".","IV",".",".",5,"45","."
"Pasquiers 2023 Fig 3a",38,"Venous Blood","Plasma","NHP",".",4,"Bevacizumab",150000,165.62,"hr",28.15,"ug/mL",".",".","IV",".",".",5,"45","."
"Pasquiers 2023 Fig 3a",38,"Venous Blood","Plasma","NHP",".",4,"Bevacizumab",150000,178.17,"hr",27.2,"ug/mL",".",".","IV",".",".",5,"45","."
"Pasquiers 2023 Fig 3a",38,"Venous Blood","Plasma","NHP",".",4,"Bevacizumab",150000,240.9,"hr",26.73,"ug/mL",".",".","IV",".",".",5,"45","."
"Pasquiers 2023 Fig 3a",38,"Venous Blood","Plasma","NHP",".",4,"Bevacizumab",150000,341.28,"hr",20.31,"ug/mL",".",".","IV",".",".",5,"45","."
"Pasquiers 2023 Fig 3a",38,"Venous Blood","Plasma","NHP",".",4,"Bevacizumab",150000,414.05,"hr",16.53,"ug/mL",".",".","IV",".",".",5,"45","."
"Pasquiers 2023 Fig 3a",38,"Venous Blood","Plasma","NHP",".",4,"Bevacizumab",150000,501.88,"hr",11.94,"ug/mL",".",".","IV",".",".",5,"45","."
"Tajiri 2024 Fig 1",68,"Venous Blood","Plasma","NHP",".",5,"Bevacizumab",149000,0.48,"hr",100,"ug/mL",".",".","IV",".",".",0.35,".","."
"Tajiri 2024 Fig 1",68,"Venous Blood","Plasma","NHP",".",5,"Bevacizumab",149000,3.36,"hr",88.07,"ug/mL",".",".","IV",".",".",0.35,".","."
"Tajiri 2024 Fig 1",68,"Venous Blood","Plasma","NHP",".",5,"Bevacizumab",149000,8.88,"hr",73.97,"ug/mL",".",".","IV",".",".",0.35,".","."
